[camera]
width=480
height=640

[client]
fps = 10

[detection]
tag_pixel_width = 200
widen_radius = 15


[arena]
nleds = 100
ring_r = 350.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
time,x,y,θ,leds
2023-11-23T15:23:02.853,317.65016859808037,597.960860069917,-1.8531716805112046,"64,72,235,237,0"
2023-11-23T15:23:02.941,313.49977841094494,567.3231120546319,-1.853347960552761,"64,72,235,237,0"
2023-11-23T15:23:03.039,309.760088766694,543.2030159395891,-1.8435144653854736,"64,72,235,237,0"
2023-11-23T15:23:03.139,304.946059704235,523.6053035065256,-1.832232069587747,"64,72,235,237,0"
2023-11-23T15:23:03.239,300.93218555423505,504.99683705289914,-1.8371137197662797,"64,72,235,237,0"
2023-11-23T15:23:03.353,298.43113933406926,487.93333830746974,-1.829796235443362,"65,73,235,237,0"
2023-11-23T15:23:03.451,295.2026563722128,472.6448659720444,-1.8231862418794922,"65,73,235,237,0"
2023-11-23T15:23:03.539,291.1821954457979,455.3806011543345,-1.812166916561889,"65,73,235,237,0"
2023-11-23T15:23:03.645,288.73951001067496,434.87713827753635,-1.8083071401656012,"65,73,235,237,0"
2023-11-23T15:23:03.766,290.5875366724788,412.58331349754417,-1.7954300098858291,"65,73,235,237,0"
2023-11-23T15:23:03.848,291.88086956122584,393.82063657036133,-1.7898315377725917,"65,73,235,237,0"
2023-11-23T15:23:03.981,291.49992482468895,377.2571193613851,-1.777103824266298,"65,73,235,237,0"
2023-11-23T15:23:04.040,290.53864028008854,361.83592345655586,-1.776703190655431,"65,73,235,237,0"
2023-11-23T15:23:04.157,293.29430744912247,338.75989751853524,-1.757259257822316,"66,74,235,237,0"
2023-11-23T15:23:04.241,294.74872995048065,320.57579481571895,-1.7540683494470153,"66,74,235,237,0"
2023-11-23T15:23:04.352,295.5011800913648,308.58712470228045,-1.7463244873054018,"66,74,235,237,0"
2023-11-23T15:23:04.439,293.27236188744143,307.71730669616846,-1.736084374719003,"66,74,235,237,0"
2023-11-23T15:23:04.554,286.0146904914426,317.25877473874505,-1.7477290870294329,"66,74,235,237,0"
2023-11-23T15:23:04.636,271.2825465780441,331.0131699142478,-1.7375825496822739,"66,74,235,237,0"
2023-11-23T15:23:04.740,247.09266459835774,348.06604301308863,-1.7396676836036102,"66,74,235,237,0"
2023-11-23T15:23:04.852,224.99640112421048,362.22010289076394,-1.7424623647906274,"66,74,235,237,0"
2023-11-23T15:23:04.953,212.00420276533308,369.0351139343749,-1.7460883268259986,"66,74,235,237,0"
2023-11-23T15:23:05.054,204.56578963586,374.89747751361585,-1.7554621267339299,"66,74,235,237,0"
2023-11-23T15:23:05.135,202.356663937527,377.8863258996213,-1.7587724539000953,"66,74,235,237,0"
2023-11-23T15:23:05.255,204.77024416352552,376.86891241996955,-1.7517109863875402,"66,74,235,237,0"
2023-11-23T15:23:05.357,208.67368026223843,374.40019970649894,-1.7602158775245034,"66,74,235,237,0"
2023-11-23T15:23:05.449,211.61610510823837,372.79106810055407,-1.7617049829832307,"66,74,235,237,0"
2023-11-23T15:23:05.535,214.1365758396744,375.26737610975897,-1.7633827327736913,"65,73,235,237,0"
2023-11-23T15:23:05.637,218.0910013880459,376.2770969938647,-1.7684709544837631,"65,73,235,237,0"
2023-11-23T15:23:05.745,221.99209229740052,376.8647540547264,-1.774223912616776,"65,73,235,237,0"
2023-11-23T15:23:05.835,223.04164880260115,382.8694381412389,-1.7725512457636314,"65,73,235,237,0"
2023-11-23T15:23:05.932,221.48614596444165,390.2936057996526,-1.785674372243687,"65,73,235,237,0"
2023-11-23T15:23:06.035,220.44937992218357,392.3318880311962,-1.7857843285106734,"65,73,235,237,0"
2023-11-23T15:23:06.134,219.4408579785739,392.84209821733566,-1.7813865962243363,"65,73,235,237,0"
2023-11-23T15:23:06.232,219.50619159480524,390.9641756465753,-1.782689699571094,"65,73,235,237,0"
2023-11-23T15:23:06.341,221.68813784356593,387.92807526963975,-1.7775895779387583,"65,73,235,237,0"
2023-11-23T15:23:06.432,222.6147673159073,389.75047392890264,-1.7770313686539403,"65,73,235,237,0"
2023-11-23T15:23:06.532,222.30546018726486,393.0670986378737,-1.7921956022851206,"65,73,235,237,0"
2023-11-23T15:23:06.652,221.1988689075993,396.5981365281486,-1.7908374073555442,"65,73,235,237,0"
2023-11-23T15:23:06.732,221.3044790080996,396.28132148547184,-1.7892009837973222,"65,73,235,237,0"
2023-11-23T15:23:06.832,222.80659853720647,393.4769245782573,-1.782078286076892,"65,73,235,237,0"
2023-11-23T15:23:06.933,221.91051269480715,396.7041356595988,-1.7857698872114183,"65,73,235,237,0"
2023-11-23T15:23:07.031,221.73590625215226,398.85214402301614,-1.7915021341861148,"65,73,235,237,0"
2023-11-23T15:23:07.151,221.71774498225585,400.52018318203034,-1.789348310659302,"65,73,235,237,0"
2023-11-23T15:23:07.227,221.71273740222972,399.9479590266676,-1.7869864595822682,"65,73,235,237,0"
2023-11-23T15:23:07.328,222.582979490317,397.588039958765,-1.78409045070262,"65,73,235,237,0"
2023-11-23T15:23:07.440,222.38577690817803,399.1120447542901,-1.7889570113506463,"65,73,235,237,0"
2023-11-23T15:23:07.527,221.74677800123564,402.46782746367717,-1.7915202016134526,"65,73,235,237,0"
2023-11-23T15:23:07.630,221.82675249448394,402.873572455645,-1.7935268840867147,"65,73,235,237,0"
2023-11-23T15:23:07.728,221.94280950751266,401.81604301570974,-1.792778837274497,"65,73,235,237,0"
2023-11-23T15:23:07.829,221.36267770282313,401.5999323269428,-1.7923203977196327,"65,73,235,237,0"
