[camera]
width=480
height=640

[client]
fps = 10

[detection]
tag_pixel_width = 200
widen_radius = 15


[arena]
nleds = 100
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
datetime,x,y,θ,leds
2023-11-29T13:47:21.273,258.6364072934688,413.40201323762096,1.7590389475467627,"19,19,0,255,0,20,28,0,0,255,28,28,255,0,0,33,33,255,255,0,38,38,255,0,255,73,77,0,255,255,78,80,255,255,255"
2023-11-29T13:47:21.385,256.7936157743836,413.9330387361009,1.7590466862116825,"19,19,0,255,0,20,28,0,0,255,28,28,255,0,0,33,33,255,255,0,38,38,255,0,255,73,77,0,255,255,78,80,255,255,255"
2023-11-29T13:47:21.472,255.99101231600235,414.8577324757068,1.7555412312908683,"19,19,0,255,0,19,27,0,0,255,28,28,255,0,0,33,33,255,255,0,38,38,255,0,255,72,76,0,255,255,78,80,255,255,255"
2023-11-29T13:47:21.573,257.1904728829124,415.20440006589126,1.7508865887866043,"19,19,0,255,0,19,27,0,0,255,28,28,255,0,0,33,33,255,255,0,38,38,255,0,255,72,76,0,255,255,78,80,255,255,255"
2023-11-29T13:47:21.679,257.9373237885985,415.665908027195,1.749308815413871,"18,18,0,255,0,19,27,0,0,255,28,28,255,0,0,33,33,255,255,0,38,38,255,0,255,72,76,0,255,255,78,80,255,255,255"
2023-11-29T13:47:21.774,256.790013415956,414.8679037848111,1.737946864675174,"18,18,0,255,0,19,27,0,0,255,28,28,255,0,0,33,33,255,255,0,38,38,255,0,255,72,76,0,255,255,78,80,255,255,255"
2023-11-29T13:47:21.875,254.66655473415764,416.482262265273,1.6943286472799841,"17,17,0,255,0,19,27,0,0,255,28,28,255,0,0,34,34,255,255,0,40,40,255,0,255,72,76,0,255,255,79,81,255,255,255"
2023-11-29T13:47:21.976,250.9143734565444,418.58153689047094,1.6093719356305742,"14,14,0,255,0,17,25,0,0,255,28,28,255,0,0,35,35,255,255,0,43,43,255,0,255,71,75,0,255,255,79,81,255,255,255"
2023-11-29T13:47:22.073,247.4459742553647,420.5456782256283,1.5432812542954788,"12,12,0,255,0,16,24,0,0,255,28,28,255,0,0,36,36,255,255,0,45,45,255,0,255,71,75,0,255,255,80,82,255,255,255"
2023-11-29T13:47:22.172,246.8028527806838,421.98353528015423,1.5086066261620537,"11,11,0,255,0,16,24,0,0,255,28,28,255,0,0,37,37,255,255,0,46,46,255,0,255,71,75,0,255,255,80,82,255,255,255"
2023-11-29T13:47:22.276,244.46811694284537,424.1104616792204,1.4375276098198142,"9,9,0,255,0,14,22,0,0,255,28,28,255,0,0,38,38,255,255,0,48,48,255,0,255,70,74,0,255,255,81,83,255,255,255"
2023-11-29T13:47:22.373,243.90861972671456,427.16497429470513,1.3725753391344298,"6,6,0,255,0,13,21,0,0,255,28,28,255,0,0,39,39,255,255,0,50,50,255,0,255,69,73,0,255,255,81,83,255,255,255"
