[camera]
# width=480
# height=640
width=720
height=1280

[detection]
tag_pixel_width = 200
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 3500.3 # in cm
origo_offset = [240, 320] # in pixels
cm_per_pixel = 2.2
baudrate = 9600##115200 #921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    width = 11
    "θ" = 1.5707963267948966
    r = 5

        [setup.suns.color]
        r = 0.39215686274509803
        g = 1
        b = 0
    [[setup.suns]]
    link_factor = -0.8
    width = 3
    "θ" = 3.141592653589793
    r = 1

        [setup.suns.color]
        r = 0.1607843137254902
        g = 0.5019607843137255
        b = 1

[experiment]
datetime = 2023-12-05T21:24:23.261Z

ms,x,y,θ,start1,stop1,red1,green1,blue1,start2,stop2,red2,green2,blue2
45,441.73933056434964,688.4398379185384,0.20005215896699613,24,34,100,255,0,56,58,41,128,255
272,443.8830872249491,685.7452509686378,0.22515375711559668,25,35,100,255,0,56,58,41,128,255
664,437.4337192611059,678.6506006729786,0.27042346955043306,26,36,100,255,0,55,57,41,128,255
764,440.20831552237144,675.1935098597424,0.34269190938059313,28,38,100,255,0,54,56,41,128,255
865,441.908135225887,674.9020123324835,0.36778683277411595,29,39,100,255,0,54,56,41,128,255
964,441.9568552339101,676.9878569265651,0.40803895780360555,30,40,100,255,0,54,56,41,128,255
1064,442.0476929845428,678.2140617015618,0.4190285236563982,30,40,100,255,0,53,55,41,128,255
1164,442.7600283142589,676.3304193929785,0.40535288179084417,30,40,100,255,0,54,56,41,128,255
1464,444.0939800859406,669.7455623727714,0.3846964373319158,29,39,100,255,0,54,56,41,128,255
1564,444.87033199246514,668.8662903210611,0.4001955966038764,30,40,100,255,0,54,56,41,128,255
1664,443.8274292731075,666.5140698218698,0.40876370494775816,30,40,100,255,0,53,55,41,128,255
1772,446.28406572743137,663.3267908553777,0.40555685213702714,30,40,100,255,0,54,56,41,128,255
1864,446.7825511355169,661.3814930292478,0.384688921505917,29,39,100,255,0,54,56,41,128,255
62811,428.00534905319165,666.3690940428801,-2.639571035689146,61,71,100,255,0,97,99,41,128,255
62967,434.9035926604604,664.3476717682859,-2.69465422442851,59,69,100,255,0,98,100,41,128,255
63574,439.16153851925014,696.1277823565916,-2.804132739822134,56,66,100,255,0,100,102,41,128,255
63669,433.42879874465626,696.1848545664677,-2.7797253696235535,57,67,100,255,0,99,101,41,128,255
63769,425.84439109088567,696.4067734000731,-2.7362847571652686,58,68,100,255,0,99,101,41,128,255
63869,422.1386735280248,704.3590314223434,-2.7822219013294673,57,67,100,255,0,99,101,41,128,255
64170,346.8887664850542,700.0575685185657,-2.820062609465845,56,66,100,255,0,100,102,41,128,255
64370,377.32287324535525,717.6230169607193,-2.8434209113258984,55,65,100,255,0,100,102,41,128,255
64566,385.84643783569993,706.5469785380878,-2.825877968533408,56,66,100,255,0,100,102,41,128,255
64762,398.18428697221316,703.6260050357357,-2.686895715853233,59,69,100,255,0,98,100,41,128,255
64863,403.3831146797082,697.6409730495031,-2.6611511248834905,60,70,100,255,0,98,100,41,128,255
65162,393.48073353520897,686.9721825675439,-2.618797519463427,61,71,100,255,0,97,99,41,128,255
65262,396.86161145194956,693.1173142771534,-2.5292185140718613,64,74,100,255,0,96,98,41,128,255
65362,397.9631540743526,696.4685313932721,-2.4980159779991946,64,74,100,255,0,95,97,41,128,255
65462,400.0339301395722,697.2028896025832,-2.4527330064463317,66,76,100,255,0,95,97,41,128,255
65565,397.8689183521649,696.4584391114327,-2.3839191714088424,68,78,100,255,0,94,96,41,128,255
65662,394.7587335322819,694.0056212593175,-2.3504029576738215,68,78,100,255,0,93,95,41,128,255
65762,395.8803224242958,690.5885346866146,-2.317344193723535,69,79,100,255,0,93,95,41,128,255
65862,396.6575983293839,688.2536450674929,-2.307710957440965,70,80,100,255,0,93,95,41,128,255
65962,394.2514250189829,688.8579740498399,-2.2986584696549617,70,80,100,255,0,92,94,41,128,255
66062,394.99524020692724,691.8503213455307,-2.263522350138208,71,81,100,255,0,92,94,41,128,255
66162,395.377062765579,693.0630379479284,-2.2281064555572594,72,82,100,255,0,91,93,41,128,255
66369,399.7575989146571,694.00287909891,-2.1560621556282786,74,84,100,255,0,90,92,41,128,255
67062,390.13824810807984,695.6678072093608,-2.105126022024078,75,85,100,255,0,90,92,41,128,255
