[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-09T14:25:11.795Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
1203,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1203,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1221,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1221,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1221,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1218,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1265,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1367,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1466,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1568,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1665,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1804,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1864,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1964,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2064,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2164,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2266,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2365,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2463,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2563,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
