[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-11T13:08:21.552Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
516,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
590,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
715,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
815,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
916,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1015,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1114,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1218,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1313,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1431,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1489,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1611,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1710,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1811,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1910,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2011,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2108,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2221,355.7830070788922,666.9610460333648,2.5438373041059728,87,97,62,62,32,32,2,2,85,85,102,102,72,72
2303,355.21586515442203,686.5863973785401,2.7810478922102533,96,106,67,67,32,32,111,111,77,77,104,104,70,70
2371,357.3739966477902,689.7105720166574,2.9296882935334643,101,111,69,69,32,32,108,108,71,71,106,106,69,69
2472,360.84526599450885,686.1481134864423,3.1224054273527737,108,5,73,73,32,32,105,105,64,64,108,108,67,67
2572,361.02107969647096,685.2786110750012,-2.5360026051556885,18,28,84,84,32,32,94,94,42,42,113,113,61,61
2673,357.29823503213214,681.6471860136209,-1.9080014486179455,40,50,95,95,32,32,82,82,19,19,6,6,56,56
2773,356.10603113036524,668.8568794990186,-1.7431573174335733,46,56,98,98,32,32,79,79,13,13,7,7,54,54
2873,360.05181628686944,654.0764165911041,-1.8414674643361943,43,53,97,97,32,32,81,81,17,17,6,6,55,55
2973,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3073,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3174,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3275,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3375,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3476,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3578,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3687,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3779,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3879,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
3981,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4082,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4183,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4285,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4386,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4487,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4589,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4691,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4793,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4892,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
4995,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5096,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5195,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5297,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5399,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5501,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5600,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5704,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5810,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
5904,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
6005,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
6105,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
6205,,,,43,53,97,97,32,32,81,81,17,17,6,6,55,55
