[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-09T14:26:05.880Z

ms,x,y,θ,start1,stop1,start2,stop2
563,,,,24,34,56,58
664,,,,24,34,56,58
762,,,,24,34,56,58
864,,,,24,34,56,58
962,,,,24,34,56,58
1063,,,,24,34,56,58
1164,,,,24,34,56,58
1263,,,,24,34,56,58
1362,,,,24,34,56,58
1462,,,,24,34,56,58
1562,,,,24,34,56,58
1662,,,,24,34,56,58
1763,,,,24,34,56,58
1862,,,,24,34,56,58
1963,,,,24,34,56,58
2061,,,,24,34,56,58
2163,,,,24,34,56,58
2262,,,,24,34,56,58
2362,,,,24,34,56,58
2479,,,,24,34,56,58
2560,,,,24,34,56,58
2661,,,,24,34,56,58
2760,,,,24,34,56,58
2859,,,,24,34,56,58
2960,,,,24,34,56,58
3061,,,,24,34,56,58
3160,,,,24,34,56,58
3263,,,,24,34,56,58
3363,,,,24,34,56,58
3460,,,,24,34,56,58
3561,,,,24,34,56,58
3660,,,,24,34,56,58
3760,,,,24,34,56,58
3861,,,,24,34,56,58
3962,,,,24,34,56,58
4059,,,,24,34,56,58
4161,,,,24,34,56,58
4261,,,,24,34,56,58
4360,,,,24,34,56,58
4472,,,,24,34,56,58
4559,,,,24,34,56,58
4660,,,,24,34,56,58
4761,,,,24,34,56,58
4860,347.02384219731823,693.3184981582467,-0.8136171241550573,2,12,68,70
4938,348.95171646777925,697.2112845285,-0.6522497447723261,7,17,66,68
5038,353.2818326086432,703.2213258963044,-0.2415638770447516,18,28,60,62
5138,356.3916093290635,710.5030408561934,0.19663771099100738,30,40,54,56
5238,358.4120893327493,713.4408218670943,0.5677189840646392,40,50,48,50
5338,360.08680093795124,718.0108891757468,1.0374244634000842,52,62,42,44
5438,359.856413100273,719.5923239418062,1.3883816708651648,62,72,37,39
5538,361.22590281896197,720.5077182061841,1.7220745442531225,71,81,32,34
5638,361.2850868736605,723.9679706263644,2.0373007832513457,79,89,27,29
5738,361.6205288937439,728.7528191858537,2.425007421720064,90,100,22,24
5838,367.8206003097681,730.0071716459754,2.4402698029783227,90,100,21,23
5938,369.9719874615314,727.9447440056944,1.942806100825078,77,87,29,31
6038,372.51332253273483,723.2944829849287,1.4472550235520043,63,73,36,38
6138,373.25683757670356,721.4237492045512,1.198313585269337,57,67,39,41
6238,373.01021168226515,720.1305997603356,0.9036252206911606,49,59,43,45
6338,372.2270773293553,719.2124430752551,0.48596672328527907,37,47,50,52
6438,374.1054660489175,720.5312264763136,0.043812380849685924,25,35,56,58
6538,,,,25,35,56,58
6638,,,,25,35,56,58
6738,,,,25,35,56,58
6838,,,,25,35,56,58
6939,,,,25,35,56,58
7039,,,,25,35,56,58
7140,,,,25,35,56,58
7240,,,,25,35,56,58
7341,,,,25,35,56,58
7441,,,,25,35,56,58
