[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-09T14:24:22.362Z

ms,x,y,θ,start1,stop1,start2,stop2
3071,,,,24,34,56,58
3203,,,,24,34,56,58
3235,,,,24,34,56,58
3261,,,,24,34,56,58
3289,,,,24,34,56,58
3321,,,,24,34,56,58
3356,,,,24,34,56,58
3383,,,,24,34,56,58
3413,,,,24,34,56,58
3442,,,,24,34,56,58
3468,,,,24,34,56,58
3499,,,,24,34,56,58
3530,,,,24,34,56,58
3560,,,,24,34,56,58
3593,,,,24,34,56,58
3624,,,,24,34,56,58
3654,,,,24,34,56,58
3739,,,,24,34,56,58
3765,,,,24,34,56,58
3795,,,,24,34,56,58
3822,,,,24,34,56,58
3850,,,,24,34,56,58
3878,,,,24,34,56,58
3907,,,,24,34,56,58
3934,,,,24,34,56,58
3965,,,,24,34,56,58
3993,,,,24,34,56,58
4022,,,,24,34,56,58
4050,,,,24,34,56,58
4079,,,,24,34,56,58
4106,,,,24,34,56,58
4134,,,,24,34,56,58
4208,,,,24,34,56,58
4310,,,,24,34,56,58
4410,,,,24,34,56,58
4509,,,,24,34,56,58
4643,,,,24,34,56,58
4706,,,,24,34,56,58
4808,,,,24,34,56,58
4908,,,,24,34,56,58
5007,,,,24,34,56,58
5631,,,,24,34,56,58
5658,,,,24,34,56,58
5687,,,,24,34,56,58
5715,,,,24,34,56,58
5743,,,,24,34,56,58
5771,,,,24,34,56,58
5823,,,,24,34,56,58
5851,,,,24,34,56,58
5908,,,,24,34,56,58
6008,,,,24,34,56,58
6107,,,,24,34,56,58
6224,,,,24,34,56,58
6306,,,,24,34,56,58
6406,,,,24,34,56,58
6507,,,,24,34,56,58
6623,,,,24,34,56,58
6720,,,,24,34,56,58
6816,,,,24,34,56,58
6911,,,,24,34,56,58
7011,,,,24,34,56,58
7114,,,,24,34,56,58
7211,,,,24,34,56,58
7311,,,,24,34,56,58
7410,,,,24,34,56,58
7510,,,,24,34,56,58
7613,,,,24,34,56,58
7834,383.87449001751344,693.0680339738213,1.2046211063352004,64,74,36,38
7834,382.4073848305434,703.8393890581473,1.4584144336046327,64,74,36,38
7892,382.93432718918064,709.4557393490259,1.815270582194727,73,83,30,32
7991,383.6269484801319,710.1676726069868,2.099310400320908,81,91,26,28
8091,384.0589326807774,705.9890880338013,2.3031982909688113,86,96,23,25
8189,384.5285804499233,698.5342036630691,2.443830304371292,90,100,21,23
8289,385.96254906277346,689.9922407610968,2.6700195619826648,96,106,18,20
8389,392.392619032268,683.5003786384597,2.833027184174384,101,111,16,18
8489,395.96610700897924,683.978228942728,2.9525743368763426,104,1,14,16
8589,398.2173221881347,683.3927818253773,2.8348495733388352,101,111,16,18
8689,398.3381958571498,685.3704812326611,2.5002746343554536,92,102,21,23
8787,399.63782038606695,687.7520856487147,2.3843948756714415,89,99,22,24
8898,400.42165881908306,691.9175035081416,2.0886831790661073,81,91,26,28
8998,399.276504550206,691.9462851071705,1.716803055150568,71,81,32,34
9098,398.715112733856,691.8680700762559,1.4017345260210552,62,72,36,38
9198,398.4623940814937,692.1829104292498,1.1659755737492485,56,66,40,42
9300,399.5278292628649,691.4731675084037,1.0084845948981342,51,61,42,44
9400,398.396300425764,691.3144277775659,0.8636638071913186,48,58,44,46
9500,396.691081658424,691.1415526153536,0.7070206465345675,43,53,46,48
9597,392.4607214790823,695.4596052250583,0.600460489343443,40,50,48,50
9698,388.3144784154584,697.9218241149143,0.35513806640523676,34,44,51,53
9798,384.77355816332204,699.6539680167283,0.10343831683459472,27,37,55,57
9894,384.3537782935844,698.0529706151772,0.002678782229544219,24,34,56,58
9998,384.9194652556636,698.1569037154865,0.14282274435873993,28,38,54,56
10098,385.06588065196786,699.0007929275986,0.31181661838718155,33,43,52,54
10198,388.46295964024466,698.6666932903217,0.5736672369925137,40,50,48,50
10298,391.2629510407522,697.912649953814,0.7218977064427556,44,54,46,48
10398,391.64572634655997,698.6717465204656,0.8662310555925669,48,58,44,46
10495,392.35859608148104,700.4075191907914,1.0828660395109067,53,63,41,43
10598,393.68994716954575,700.2102602968841,1.2838087379158214,59,69,38,40
10698,393.0195319006982,700.7962685962527,1.462053529769708,64,74,35,37
10798,391.06014664090134,699.2396646040081,1.6398143714251245,68,78,33,35
10898,388.9370557718101,698.17126049647,1.7938522285995677,73,83,31,33
10985,389.3562256803918,697.8515101489154,1.9348786458632186,76,86,29,31
11085,390.43986013800736,697.491324255418,2.156085369777541,82,92,25,27
11185,391.89473761569633,695.145662761062,2.308594252517506,87,97,23,25
11299,391.9841649334244,693.4302744169106,2.4874760433124363,91,101,21,23
11385,393.7553405910552,692.179990028631,2.6338711983819256,95,105,19,21
11485,394.62716931808734,690.9947722469832,2.7838723426319714,99,109,16,18
11585,394.7542751246732,688.678239520108,2.977342057096287,105,2,14,16
11685,395.40545505934955,688.0600432492002,-3.129240811267889,109,6,11,13
11785,396.4306544763202,688.1554543669238,-2.9520412329489663,1,11,9,11
11885,397.4050338749631,688.8198235566862,-2.6754690848491416,9,19,5,7
11985,398.02472520412636,689.1980483075782,-2.3649236871207817,17,27,113,2
12085,399.1552823478343,688.67415632811,-2.122563016926181,23,33,110,112
12185,397.3516740026594,686.4420912134046,-1.9486553924077359,28,38,107,109
12285,396.28392611183506,683.0197315090164,-1.8148939650911455,32,42,105,107
12385,397.79466947614935,679.7974181485447,-1.7707861432956338,33,43,105,107
12485,398.7102018111426,674.7096297894393,-1.7870571870366136,33,43,105,107
12585,398.31303601884053,671.3361309756145,-1.9569579228958909,28,38,107,109
12685,396.1449042490211,674.770993435036,-2.159898580289629,22,32,110,112
12785,395.7635592232411,677.7308787845309,-2.4554725227685186,15,25,1,3
12885,397.18863953106444,678.6642739556437,-2.8961611555328406,3,13,8,10
12985,397.8568798927424,679.6110990099256,-3.128298170838289,109,6,11,13
13085,397.7690910087299,680.7787791452481,3.0299690763339195,106,3,13,15
13185,396.938187612544,681.8919614002967,2.8414179228668184,101,111,16,18
13285,395.96967369825984,682.7581359491285,2.571889456849111,94,104,19,21
13385,395.37402598452024,683.3252733935852,2.312911964587521,87,97,23,25
13485,394.95410114519143,683.212342861089,2.1648363845301906,83,93,25,27
13585,394.0894947494342,683.6857116549402,2.052656155612277,80,90,27,29
13685,392.23515874505244,686.0480952025018,1.894139336317905,75,85,29,31
13785,390.99500578223785,688.1464078929943,1.6935132786781584,70,80,32,34
13885,390.45909397938567,688.5559381108034,1.4700312724080287,64,74,35,37
13985,389.5071081393413,688.4080703188815,1.2439645545559526,58,68,39,41
14085,389.3274299242088,688.4288507323135,1.0176383240561784,52,62,42,44
14185,388.7705352877449,688.7840043795076,0.911070649605914,49,59,43,45
14285,386.7296499898965,690.1103066947593,0.8146140453730705,46,56,45,47
14385,383.5687237976309,691.4772627732053,0.6410329206446889,42,52,47,49
14485,381.97172518028174,693.4906455762141,0.5367712789826488,39,49,49,51
14585,382.6739298449445,694.4219511011374,0.4276762586836082,36,46,50,52
14685,385.98385707956106,692.9464611010004,0.5019328273911773,38,48,49,51
14785,,,,38,48,49,51
14885,,,,38,48,49,51
14985,,,,38,48,49,51
15085,,,,38,48,49,51
15186,,,,38,48,49,51
15286,,,,38,48,49,51
15387,,,,38,48,49,51
15487,,,,38,48,49,51
15588,,,,38,48,49,51
15689,,,,38,48,49,51
15789,,,,38,48,49,51
15890,,,,38,48,49,51
15991,,,,38,48,49,51
16092,,,,38,48,49,51
16193,,,,38,48,49,51
16293,,,,38,48,49,51
16394,,,,38,48,49,51
16495,,,,38,48,49,51
16596,,,,38,48,49,51
16697,,,,38,48,49,51
16797,,,,38,48,49,51
16899,,,,38,48,49,51
16999,,,,38,48,49,51
17100,,,,38,48,49,51
17202,,,,38,48,49,51
17302,,,,38,48,49,51
17402,,,,38,48,49,51
17504,,,,38,48,49,51
17603,,,,38,48,49,51
17705,,,,38,48,49,51
17805,,,,38,48,49,51
17905,,,,38,48,49,51
18005,,,,38,48,49,51
18106,,,,38,48,49,51
18206,,,,38,48,49,51
18307,,,,38,48,49,51
18406,,,,38,48,49,51
18508,,,,38,48,49,51
18622,,,,38,48,49,51
18708,,,,38,48,49,51
18808,,,,38,48,49,51
18907,,,,38,48,49,51
19010,,,,38,48,49,51
19109,,,,38,48,49,51
19209,,,,38,48,49,51
19308,,,,38,48,49,51
19407,,,,38,48,49,51
19509,,,,38,48,49,51
19609,,,,38,48,49,51
19709,,,,38,48,49,51
19810,,,,38,48,49,51
19910,,,,38,48,49,51
20008,,,,38,48,49,51
20108,,,,38,48,49,51
20210,,,,38,48,49,51
20307,,,,38,48,49,51
20407,,,,38,48,49,51
20510,,,,38,48,49,51
20621,,,,38,48,49,51
20709,,,,38,48,49,51
20808,,,,38,48,49,51
20909,,,,38,48,49,51
21008,,,,38,48,49,51
21109,,,,38,48,49,51
21209,,,,38,48,49,51
21316,,,,38,48,49,51
21408,,,,38,48,49,51
21509,,,,38,48,49,51
21608,,,,38,48,49,51
21709,,,,38,48,49,51
21809,,,,38,48,49,51
21908,,,,38,48,49,51
22007,,,,38,48,49,51
22108,,,,38,48,49,51
22209,,,,38,48,49,51
22308,,,,38,48,49,51
22413,,,,38,48,49,51
22509,,,,38,48,49,51
22610,,,,38,48,49,51
22708,,,,38,48,49,51
22810,,,,38,48,49,51
