[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Three stationary suns"

    [[setup.suns]]
    link_factor = 0
    azimuth = 0
    width = 1
    red = 255
    [[setup.suns]]
    link_factor = 0
    green = 255
    azimuth = 90
    width = 1
    [[setup.suns]]
    blue = 255
    link_factor = 0
    azimuth = 180
    width = 1

[experiment]
datetime = 2023-12-11T13:17:45.690Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3
565,,,,1,1,29,29,57,57
663,,,,1,1,29,29,57,57
766,,,,1,1,29,29,57,57
866,,,,1,1,29,29,57,57
965,,,,1,1,29,29,57,57
1064,,,,1,1,29,29,57,57
1168,,,,1,1,29,29,57,57
1266,,,,1,1,29,29,57,57
1365,,,,1,1,29,29,57,57
1464,,,,1,1,29,29,57,57
1564,,,,1,1,29,29,57,57
1664,,,,1,1,29,29,57,57
1766,,,,1,1,29,29,57,57
1868,,,,1,1,29,29,57,57
1967,,,,1,1,29,29,57,57
2067,,,,1,1,29,29,57,57
2164,,,,1,1,29,29,57,57
2266,,,,1,1,29,29,57,57
2365,,,,1,1,29,29,57,57
2464,,,,1,1,29,29,57,57
2565,,,,1,1,29,29,57,57
2666,,,,1,1,29,29,57,57
2768,,,,1,1,29,29,57,57
2868,,,,1,1,29,29,57,57
2965,,,,1,1,29,29,57,57
3069,,,,1,1,29,29,57,57
3167,,,,1,1,29,29,57,57
3265,,,,1,1,29,29,57,57
3365,,,,1,1,29,29,57,57
3467,,,,1,1,29,29,57,57
3566,,,,1,1,29,29,57,57
3664,,,,1,1,29,29,57,57
3766,,,,1,1,29,29,57,57
3868,,,,1,1,29,29,57,57
3965,,,,1,1,29,29,57,57
4066,,,,1,1,29,29,57,57
4164,,,,1,1,29,29,57,57
4266,,,,1,1,29,29,57,57
4364,,,,1,1,29,29,57,57
4467,,,,1,1,29,29,57,57
4566,,,,1,1,29,29,57,57
4664,,,,1,1,29,29,57,57
4763,,,,1,1,29,29,57,57
4867,,,,1,1,29,29,57,57
4967,,,,1,1,29,29,57,57
5064,,,,1,1,29,29,57,57
5166,,,,1,1,29,29,57,57
5267,,,,1,1,29,29,57,57
5366,,,,1,1,29,29,57,57
5469,,,,1,1,29,29,57,57
5567,,,,1,1,29,29,57,57
5666,,,,1,1,29,29,57,57
5765,,,,1,1,29,29,57,57
5868,,,,1,1,29,29,57,57
5964,,,,1,1,29,29,57,57
6066,,,,1,1,29,29,57,57
6164,,,,1,1,29,29,57,57
6265,,,,1,1,29,29,57,57
6367,,,,1,1,29,29,57,57
6466,,,,1,1,29,29,57,57
6566,,,,1,1,29,29,57,57
6663,,,,1,1,29,29,57,57
6763,,,,1,1,29,29,57,57
6868,,,,1,1,29,29,57,57
6966,,,,1,1,29,29,57,57
7064,,,,1,1,29,29,57,57
7164,,,,1,1,29,29,57,57
7267,,,,1,1,29,29,57,57
7366,,,,1,1,29,29,57,57
7466,,,,1,1,29,29,57,57
7565,,,,1,1,29,29,57,57
7667,,,,1,1,29,29,57,57
7767,,,,1,1,29,29,57,57
7866,,,,1,1,29,29,57,57
7965,,,,1,1,29,29,57,57
8065,,,,1,1,29,29,57,57
8167,,,,1,1,29,29,57,57
8267,,,,1,1,29,29,57,57
8367,,,,1,1,29,29,57,57
8464,,,,1,1,29,29,57,57
8564,,,,1,1,29,29,57,57
8665,,,,1,1,29,29,57,57
8764,,,,1,1,29,29,57,57
8866,,,,1,1,29,29,57,57
8965,,,,1,1,29,29,57,57
9067,,,,1,1,29,29,57,57
9166,,,,1,1,29,29,57,57
9265,,,,1,1,29,29,57,57
9366,,,,1,1,29,29,57,57
9468,,,,1,1,29,29,57,57
9567,,,,1,1,29,29,57,57
9665,,,,1,1,29,29,57,57
9766,,,,1,1,29,29,57,57
9868,,,,1,1,29,29,57,57
9968,,,,1,1,29,29,57,57
10067,,,,1,1,29,29,57,57
10168,,,,1,1,29,29,57,57
10269,,,,1,1,29,29,57,57
10369,,,,1,1,29,29,57,57
10469,,,,1,1,29,29,57,57
10567,,,,1,1,29,29,57,57
10666,,,,1,1,29,29,57,57
10763,,,,1,1,29,29,57,57
10867,,,,1,1,29,29,57,57
10967,,,,1,1,29,29,57,57
11065,,,,1,1,29,29,57,57
11167,,,,1,1,29,29,57,57
11245,,,,1,1,29,29,57,57
11367,,,,1,1,29,29,57,57
11465,,,,1,1,29,29,57,57
11565,,,,1,1,29,29,57,57
11668,,,,1,1,29,29,57,57
11767,,,,1,1,29,29,57,57
11865,,,,1,1,29,29,57,57
11966,,,,1,1,29,29,57,57
12065,,,,1,1,29,29,57,57
12167,,,,1,1,29,29,57,57
12270,,,,1,1,29,29,57,57
12368,,,,1,1,29,29,57,57
12467,,,,1,1,29,29,57,57
12569,,,,1,1,29,29,57,57
12669,,,,1,1,29,29,57,57
12767,,,,1,1,29,29,57,57
12870,,,,1,1,29,29,57,57
12966,,,,1,1,29,29,57,57
13068,,,,1,1,29,29,57,57
13168,,,,1,1,29,29,57,57
13265,,,,1,1,29,29,57,57
13370,,,,1,1,29,29,57,57
13465,,,,1,1,29,29,57,57
13567,,,,1,1,29,29,57,57
13666,,,,1,1,29,29,57,57
