[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-09T12:39:42.042Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
2212,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2350,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2384,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2412,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2540,,,,106,3,15,15,32,32,50,50,67,67,79,79,96,96
2550,311.0810030410752,635.8980567215877,-0.19422828753702373,14,24,26,26,32,32,39,39,46,46,84,84,91,91
2551,308.25667952327007,645.9228254810085,-0.09205518334514133,14,24,26,26,32,32,39,39,46,46,84,84,91,91
2551,331.9542818968428,657.1389338558356,0.5052910729671188,14,24,26,26,32,32,39,39,46,46,84,84,91,91
2552,329.77199728334983,657.0713251768144,0.4181235225217227,14,24,26,26,32,32,39,39,46,46,84,84,91,91
2554,333.32707316624663,656.749230150965,0.6329195266170419,19,29,28,28,32,32,37,37,41,41,85,85,89,89
2559,335.53010933625455,656.9565094507557,0.7918226940354329,24,34,31,31,32,32,34,34,35,35,87,87,88,88
2564,338.0208463249154,657.402004602321,1.0447338201815928,34,44,35,35,32,32,29,29,26,26,89,89,86,86
2568,339.5230254054468,657.5343100511157,1.339503040624011,44,54,41,41,32,32,24,24,16,16,92,92,83,83
2573,340.8808030087692,658.7727913939568,1.54214147526564,51,61,44,44,32,32,20,20,8,8,93,93,81,81
2577,340.9685927842453,659.1283305552438,1.6614754382761658,56,66,47,47,32,32,18,18,4,4,94,94,80,80
2582,341.5482368537715,659.6672802639062,1.827832769736499,62,72,50,50,32,32,15,15,111,111,96,96,79,79
2587,342.8265798267599,661.0914738889884,2.0431441963828796,69,79,53,53,32,32,11,11,103,103,98,98,77,77
2672,346.19284578840706,662.4606021602817,2.175560595790409,74,84,56,56,32,32,9,9,99,99,99,99,76,76
2772,346.3230034706766,661.8332853347047,2.3803475045907647,82,92,60,60,32,32,5,5,91,91,101,101,74,74
2875,344.8452120374494,661.7957258912627,2.5558166594732064,88,98,63,63,32,32,2,2,85,85,102,102,72,72
2975,346.8388906178935,659.9070755895857,2.7298833151179824,94,104,66,66,32,32,112,112,79,79,104,104,71,71
3075,348.1431376364468,658.1804477756149,2.9100077688190953,101,111,69,69,32,32,109,109,72,72,106,106,69,69
3175,347.2465679732436,657.738536315035,3.09365307718581,107,4,72,72,32,32,105,105,66,66,107,107,67,67
3275,346.8948086530565,658.2273636865774,-3.0655917292868304,112,9,75,75,32,32,103,103,61,61,108,108,66,66
