[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-11T13:28:37.390Z

ms,x,y,θ,start1,stop1,start2,stop2
551,,,,24,34,56,58
626,,,,24,34,56,58
754,,,,24,34,56,58
847,,,,24,34,56,58
951,,,,24,34,56,58
1058,,,,24,34,56,58
1151,,,,24,34,56,58
1251,,,,24,34,56,58
1350,,,,24,34,56,58
1449,,,,24,34,56,58
1549,,,,24,34,56,58
1649,,,,24,34,56,58
1747,,,,24,34,56,58
1847,,,,24,34,56,58
1947,,,,24,34,56,58
2050,,,,24,34,56,58
2146,394.29775335521435,678.3834630293962,1.643395171092138,69,79,33,35
2234,395.97278568264767,691.1902002157437,2.188118915957578,83,93,25,27
2308,391.48428952933887,697.185379935839,2.7794897571920867,99,109,17,19
2410,382.20841590243185,689.6769260238138,-2.857142689217108,4,14,7,9
2510,373.345913529189,677.6981178638238,-2.597250850938301,11,21,3,5
2610,371.67524361075834,675.4292047804518,-3.10060040313907,110,7,11,13
2710,373.3547603054037,679.3576209435007,2.4161827143490076,89,99,22,24
2810,378.2927655617151,681.1692434518689,1.8963822472871257,75,85,29,31
2911,381.5981462859961,679.0907810599919,0.9985922353015612,51,61,42,44
3011,381.41851381044467,679.4874611813696,0.7124511474638208,43,53,46,48
3111,378.31324390061644,682.0694085176091,1.377247689813383,61,71,37,39
3210,374.9964454461715,685.7127225974258,2.668544323242302,96,106,18,20
3310,374.8482194219856,680.1358360380661,3.0085664744535228,105,2,13,15
3410,373.78553947914355,673.1863955125807,3.065293277491597,107,4,12,14
3511,376.6483844361545,668.663163688937,2.29692691002701,86,96,23,25
3611,379.199757857911,666.7426303856204,1.1290421455355706,55,65,40,42
3711,380.72976757232925,670.0055890771114,0.8994546973161152,49,59,44,46
3810,381.9072665507223,676.4965815766959,2.392173294991625,89,99,22,24
3910,,,,89,99,22,24
4011,,,,89,99,22,24
4112,,,,89,99,22,24
4212,,,,89,99,22,24
4312,,,,89,99,22,24
4414,,,,89,99,22,24
4514,,,,89,99,22,24
4615,,,,89,99,22,24
4717,,,,89,99,22,24
4818,,,,89,99,22,24
4919,,,,89,99,22,24
5020,,,,89,99,22,24
5121,,,,89,99,22,24
5222,,,,89,99,22,24
5324,,,,89,99,22,24
5425,,,,89,99,22,24
5527,,,,89,99,22,24
5629,,,,89,99,22,24
5730,,,,89,99,22,24
5830,,,,89,99,22,24
5933,,,,89,99,22,24
6034,,,,89,99,22,24
6136,,,,89,99,22,24
6243,,,,89,99,22,24
6337,,,,89,99,22,24
6436,,,,89,99,22,24
6538,,,,89,99,22,24
6638,,,,89,99,22,24
6739,,,,89,99,22,24
6840,,,,89,99,22,24
6943,,,,89,99,22,24
7042,,,,89,99,22,24
7143,,,,89,99,22,24
7242,,,,89,99,22,24
7344,,,,89,99,22,24
7449,,,,89,99,22,24
7546,,,,89,99,22,24
7647,,,,89,99,22,24
7748,,,,89,99,22,24
7847,,,,89,99,22,24
7950,,,,89,99,22,24
8051,,,,89,99,22,24
8147,,,,89,99,22,24
8248,,,,89,99,22,24
8347,,,,89,99,22,24
8452,,,,89,99,22,24
8544,,,,89,99,22,24
8646,,,,89,99,22,24
8747,,,,89,99,22,24
8850,,,,89,99,22,24
8947,,,,89,99,22,24
9049,,,,89,99,22,24
9149,,,,89,99,22,24
9250,,,,89,99,22,24
9351,,,,89,99,22,24
9452,,,,89,99,22,24
9552,,,,89,99,22,24
9647,,,,89,99,22,24
9750,,,,89,99,22,24
9852,,,,89,99,22,24
9950,,,,89,99,22,24
10049,,,,89,99,22,24
10149,,,,89,99,22,24
10248,,,,89,99,22,24
10347,,,,89,99,22,24
10450,,,,89,99,22,24
10548,,,,89,99,22,24
10649,,,,89,99,22,24
10749,,,,89,99,22,24
10848,,,,89,99,22,24
10952,,,,89,99,22,24
11050,,,,89,99,22,24
11148,,,,89,99,22,24
11250,,,,89,99,22,24
11351,,,,89,99,22,24
11451,,,,89,99,22,24
11547,,,,89,99,22,24
11646,,,,89,99,22,24
11749,,,,89,99,22,24
11848,,,,89,99,22,24
11945,,,,89,99,22,24
12048,,,,89,99,22,24
12145,,,,89,99,22,24
12248,,,,89,99,22,24
12345,,,,89,99,22,24
12447,,,,89,99,22,24
12545,,,,89,99,22,24
12651,,,,89,99,22,24
12746,,,,89,99,22,24
12847,,,,89,99,22,24
12950,,,,89,99,22,24
13048,,,,89,99,22,24
13147,,,,89,99,22,24
13249,,,,89,99,22,24
13348,,,,89,99,22,24
13447,,,,89,99,22,24
13549,,,,89,99,22,24
13648,,,,89,99,22,24
13751,,,,89,99,22,24
13849,,,,89,99,22,24
13952,,,,89,99,22,24
14046,,,,89,99,22,24
14147,,,,89,99,22,24
14252,,,,89,99,22,24
14350,,,,89,99,22,24
14452,,,,89,99,22,24
14549,,,,89,99,22,24
14649,,,,89,99,22,24
14748,,,,89,99,22,24
14849,,,,89,99,22,24
14945,,,,89,99,22,24
15049,,,,89,99,22,24
15151,,,,89,99,22,24
15248,,,,89,99,22,24
15348,,,,89,99,22,24
15450,,,,89,99,22,24
15547,,,,89,99,22,24
15649,,,,89,99,22,24
15748,,,,89,99,22,24
15847,,,,89,99,22,24
15948,,,,89,99,22,24
16048,,,,89,99,22,24
16149,,,,89,99,22,24
16248,,,,89,99,22,24
16349,,,,89,99,22,24
16451,,,,89,99,22,24
16548,,,,89,99,22,24
16650,,,,89,99,22,24
16747,,,,89,99,22,24
16848,,,,89,99,22,24
16947,,,,89,99,22,24
17048,,,,89,99,22,24
17147,,,,89,99,22,24
17249,,,,89,99,22,24
17346,,,,89,99,22,24
17449,,,,89,99,22,24
17546,,,,89,99,22,24
17647,,,,89,99,22,24
17752,,,,89,99,22,24
17849,,,,89,99,22,24
17951,,,,89,99,22,24
18049,,,,89,99,22,24
18151,,,,89,99,22,24
18254,,,,89,99,22,24
18350,,,,89,99,22,24
18453,,,,89,99,22,24
18548,,,,89,99,22,24
18650,,,,89,99,22,24
18753,,,,89,99,22,24
18850,,,,89,99,22,24
18946,,,,89,99,22,24
19050,,,,89,99,22,24
19149,,,,89,99,22,24
19250,,,,89,99,22,24
19348,,,,89,99,22,24
19451,,,,89,99,22,24
19548,,,,89,99,22,24
19650,,,,89,99,22,24
19748,,,,89,99,22,24
19848,,,,89,99,22,24
