[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-11T12:24:46.689Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
1416,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1832,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1860,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1887,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1912,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1940,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1966,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1993,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2018,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2045,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2148,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2235,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2337,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2436,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2534,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2645,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2745,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2851,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2952,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3052,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3165,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3253,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3344,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3455,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3544,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3657,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3746,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3856,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3954,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4059,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4157,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4236,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4357,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4444,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4535,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4634,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4740,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4854,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4953,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5054,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5157,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
