[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-10T12:52:53.651Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
512,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
584,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
684,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
798,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
876,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
980,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1079,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1180,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1280,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1379,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1556,429.4814286830132,553.0004020257719,1.7224222620860543,58,68,48,48,32,32,17,17,2,2,95,95,80,80
1558,,,,58,68,48,48,32,32,17,17,2,2,95,95,80,80
1658,472.8360412818637,562.0190273435431,1.871322694709274,63,73,50,50,32,32,14,14,109,109,96,96,78,78
1772,472.0375487545583,554.0307402859712,1.9399051228074302,66,76,52,52,32,32,13,13,107,107,97,97,78,78
1857,464.35605821416414,555.3645778711863,2.0343725373651234,69,79,53,53,32,32,11,11,104,104,98,98,77,77
1958,459.9216630892507,560.911927193521,2.3696982752351263,81,91,59,59,32,32,5,5,92,92,101,101,74,74
2058,455.5986494075486,561.6933370851096,2.8089456135555047,97,107,67,67,32,32,111,111,76,76,105,105,70,70
2158,454.7844953238621,560.2893907816368,3.12125162582753,108,5,73,73,32,32,105,105,65,65,108,108,67,67
2258,454.26449624762415,555.6145508477298,-2.908538248016734,4,14,77,77,32,32,100,100,55,55,110,110,65,65
2358,455.6973186623236,551.8375333191658,-2.623435245123617,15,25,83,83,32,32,95,95,45,45,112,112,62,62
2458,453.49979504865837,547.8794632132426,-2.285918799746219,27,37,89,89,32,32,89,89,33,33,2,2,59,59
2558,453.83215164194496,544.7045791341786,-1.9931940800947778,37,47,94,94,32,32,84,84,22,22,5,5,57,57
2658,452.0182160108073,543.4749677269049,-1.540530162391225,54,64,102,102,32,32,76,76,6,6,9,9,53,53
2776,452.655015258949,541.8374634991202,-1.179849751176001,67,77,108,108,32,32,69,69,106,106,12,12,49,49
2858,450.1832803109677,537.824274286168,-0.830267125759164,79,89,2,2,32,32,63,63,94,94,16,16,46,46
2958,453.36994907517123,531.0653626772698,-0.6749735305718005,85,95,5,5,32,32,60,60,88,88,17,17,45,45
