[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Three stationary suns"

    [[setup.suns]]
    link_factor = 0
    azimuth = 0
    width = 1
    red = 255
    [[setup.suns]]
    link_factor = 0
    green = 255
    azimuth = 90
    width = 1
    [[setup.suns]]
    blue = 255
    link_factor = 0
    azimuth = 180
    width = 1

[experiment]
datetime = 2023-12-09T21:39:17.681Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3
818,,,,1,1,29,29,57,57
908,,,,1,1,29,29,57,57
1007,,,,1,1,29,29,57,57
1099,,,,1,1,29,29,57,57
1196,,,,1,1,29,29,57,57
1312,,,,1,1,29,29,57,57
1427,,,,1,1,29,29,57,57
1515,,,,1,1,29,29,57,57
1626,,,,1,1,29,29,57,57
1722,,,,1,1,29,29,57,57
1808,,,,1,1,29,29,57,57
1926,,,,1,1,29,29,57,57
2018,,,,1,1,29,29,57,57
2108,,,,1,1,29,29,57,57
2220,,,,1,1,29,29,57,57
2307,,,,1,1,29,29,57,57
2423,,,,1,1,29,29,57,57
2501,,,,1,1,29,29,57,57
2605,,,,1,1,29,29,57,57
2718,,,,1,1,29,29,57,57
2808,,,,1,1,29,29,57,57
2918,,,,1,1,29,29,57,57
3008,,,,1,1,29,29,57,57
3116,,,,1,1,29,29,57,57
3209,,,,1,1,29,29,57,57
3310,,,,1,1,29,29,57,57
3418,,,,1,1,29,29,57,57
3496,,,,1,1,29,29,57,57
3617,,,,1,1,29,29,57,57
3701,,,,1,1,29,29,57,57
3817,,,,1,1,29,29,57,57
3902,,,,1,1,29,29,57,57
4016,,,,1,1,29,29,57,57
4102,,,,1,1,29,29,57,57
4217,,,,1,1,29,29,57,57
4298,409.7111710345505,650.1137097767302,-1.446506502073307,1,1,29,29,57,57
4375,426.2300632418555,677.6151733379254,-0.41380661322635054,1,1,29,29,57,57
4475,427.82975767304964,671.2242217086308,0.4599629536245911,1,1,29,29,57,57
4576,441.23520252224796,666.6083984689633,1.555003986305434,1,1,29,29,57,57
4676,,,,1,1,29,29,57,57
4777,,,,1,1,29,29,57,57
4863,,,,1,1,29,29,57,57
4975,,,,1,1,29,29,57,57
5078,,,,1,1,29,29,57,57
5179,,,,1,1,29,29,57,57
5281,,,,1,1,29,29,57,57
5384,,,,1,1,29,29,57,57
5494,,,,1,1,29,29,57,57
5584,,,,1,1,29,29,57,57
5689,,,,1,1,29,29,57,57
5790,,,,1,1,29,29,57,57
5891,,,,1,1,29,29,57,57
5993,,,,1,1,29,29,57,57
6075,,,,1,1,29,29,57,57
6197,,,,1,1,29,29,57,57
6293,,,,1,1,29,29,57,57
6377,,,,1,1,29,29,57,57
6496,,,,1,1,29,29,57,57
6596,,,,1,1,29,29,57,57
6698,,,,1,1,29,29,57,57
6794,,,,1,1,29,29,57,57
6900,,,,1,1,29,29,57,57
7000,,,,1,1,29,29,57,57
7096,,,,1,1,29,29,57,57
7199,,,,1,1,29,29,57,57
7299,,,,1,1,29,29,57,57
7380,,,,1,1,29,29,57,57
7504,,,,1,1,29,29,57,57
7585,,,,1,1,29,29,57,57
7703,,,,1,1,29,29,57,57
7783,,,,1,1,29,29,57,57
7904,,,,1,1,29,29,57,57
7984,,,,1,1,29,29,57,57
8111,,,,1,1,29,29,57,57
8178,,,,1,1,29,29,57,57
8309,,,,1,1,29,29,57,57
8382,,,,1,1,29,29,57,57
8508,,,,1,1,29,29,57,57
8583,,,,1,1,29,29,57,57
