[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Three stationary suns"

    [[setup.suns]]
    link_factor = 0
    azimuth = 0
    width = 1
    red = 255
    [[setup.suns]]
    link_factor = 0
    green = 255
    azimuth = 90
    width = 1
    [[setup.suns]]
    blue = 255
    link_factor = 0
    azimuth = 180
    width = 1

[experiment]
datetime = 2023-12-11T13:15:48.121Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3
858,,,,1,1,29,29,57,57
916,,,,1,1,29,29,57,57
939,,,,1,1,29,29,57,57
963,,,,1,1,29,29,57,57
1009,,,,1,1,29,29,57,57
1108,,,,1,1,29,29,57,57
1209,,,,1,1,29,29,57,57
1308,,,,1,1,29,29,57,57
1433,,,,1,1,29,29,57,57
1548,,,,1,1,29,29,57,57
1634,,,,1,1,29,29,57,57
1734,,,,1,1,29,29,57,57
1833,,,,1,1,29,29,57,57
1932,,,,1,1,29,29,57,57
2034,,,,1,1,29,29,57,57
2134,,,,1,1,29,29,57,57
2235,,,,1,1,29,29,57,57
2336,,,,1,1,29,29,57,57
2437,,,,1,1,29,29,57,57
2540,,,,1,1,29,29,57,57
2634,,,,1,1,29,29,57,57
2736,,,,1,1,29,29,57,57
2837,,,,1,1,29,29,57,57
2934,,,,1,1,29,29,57,57
3034,,,,1,1,29,29,57,57
3134,,,,1,1,29,29,57,57
3234,,,,1,1,29,29,57,57
3335,,,,1,1,29,29,57,57
3433,,,,1,1,29,29,57,57
3536,,,,1,1,29,29,57,57
3633,,,,1,1,29,29,57,57
3735,,,,1,1,29,29,57,57
3834,,,,1,1,29,29,57,57
3934,,,,1,1,29,29,57,57
4034,,,,1,1,29,29,57,57
4135,,,,1,1,29,29,57,57
4235,,,,1,1,29,29,57,57
4334,,,,1,1,29,29,57,57
4435,,,,1,1,29,29,57,57
4532,,,,1,1,29,29,57,57
4634,,,,1,1,29,29,57,57
4733,,,,1,1,29,29,57,57
4834,,,,1,1,29,29,57,57
4934,,,,1,1,29,29,57,57
5034,,,,1,1,29,29,57,57
5134,,,,1,1,29,29,57,57
5235,,,,1,1,29,29,57,57
5334,,,,1,1,29,29,57,57
5434,,,,1,1,29,29,57,57
5530,,,,1,1,29,29,57,57
5631,,,,1,1,29,29,57,57
5733,,,,1,1,29,29,57,57
5833,,,,1,1,29,29,57,57
5933,,,,1,1,29,29,57,57
6034,,,,1,1,29,29,57,57
6134,,,,1,1,29,29,57,57
6234,,,,1,1,29,29,57,57
6331,,,,1,1,29,29,57,57
6436,,,,1,1,29,29,57,57
6531,,,,1,1,29,29,57,57
6631,,,,1,1,29,29,57,57
6733,,,,1,1,29,29,57,57
6834,,,,1,1,29,29,57,57
6933,,,,1,1,29,29,57,57
7031,,,,1,1,29,29,57,57
7132,,,,1,1,29,29,57,57
7232,,,,1,1,29,29,57,57
7333,,,,1,1,29,29,57,57
7435,,,,1,1,29,29,57,57
7533,,,,1,1,29,29,57,57
7636,,,,1,1,29,29,57,57
7735,,,,1,1,29,29,57,57
7836,,,,1,1,29,29,57,57
7935,,,,1,1,29,29,57,57
8036,,,,1,1,29,29,57,57
8133,,,,1,1,29,29,57,57
8237,,,,1,1,29,29,57,57
