[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-09T21:40:34.485Z

ms,x,y,θ,start1,stop1,start2,stop2
1246,,,,24,34,56,58
1318,,,,24,34,56,58
1318,,,,24,34,56,58
1328,,,,24,34,56,58
1318,,,,24,34,56,58
1318,,,,24,34,56,58
1535,,,,36,46,50,52
1621,389.48631798523604,693.112914457474,0.4443781611229807,37,47,50,52
1622,365.3650860556609,663.2350018634991,0.48054584906744635,37,47,50,52
1704,359.72575873634173,650.3191433058759,0.8054492964418726,46,56,45,47
1812,359.94015344293615,651.704374949869,1.4012546880091534,62,72,36,38
1905,362.99193436488497,656.8643102713731,1.9366761476569019,76,86,29,31
2011,361.13782498046965,651.7235806805003,2.296539837483694,86,96,23,25
2108,358.92185506531115,642.2389521556962,2.5798692691435465,94,104,19,21
2207,362.1350765303759,637.8067197612719,2.802764721416156,100,110,16,18
2308,364.1250615568938,635.2332890806609,3.077847351411866,107,4,12,14
2407,365.27452819083487,631.6555428941119,-2.9519757376483953,1,11,9,11
2508,366.5514248257703,631.869884603511,-2.7314269120551193,7,17,5,7
2608,370.03510293488245,631.088924344377,-2.3004385544637067,19,29,112,1
2708,374.6839026666436,623.2202022614218,-1.83001979297289,31,41,105,107
2808,378.2790115783667,616.17390366825,-1.4627985178985854,41,51,100,102
2908,379.347700982151,610.4581930633635,-1.1969654480551442,48,58,96,98
3007,380.81854379716646,606.2791696330956,-0.9593984528887135,55,65,93,95
3108,379.8992604094147,600.0993005435163,-0.8156864396017834,59,69,91,93
3207,377.9905971174919,595.2596374983642,-0.7573908261776392,60,70,90,92
3307,379.05904752064976,596.0984252432498,-0.7404391178646126,61,71,90,92
3407,379.4033687483638,596.7667612030637,-0.7445867618855893,61,71,90,92
3503,381.122460042698,598.3694343536429,-0.7734926472594922,60,70,90,92
3603,382.52239317048446,602.0796749397289,-0.8751521144703923,57,67,92,94
3704,382.49666796404904,603.8498809611956,-0.9942142616331247,54,64,93,95
3803,383.3339020248944,605.7936063485051,-1.0674255109918267,52,62,94,96
3903,382.8836481228658,605.9293376369558,-1.1143017562649813,51,61,95,97
4004,382.85224638596037,606.0952168124822,-1.1666300562370922,49,59,96,98
4103,383.8637127903917,607.5550574905399,-1.2050955764365163,48,58,96,98
4203,383.81763458796775,609.7192346012629,-1.2823482057131388,46,56,98,100
4306,383.68201156317156,610.4650108918817,-1.3163331294076637,45,55,98,100
4397,384.46516954320236,611.5310721868443,-1.3323381742413805,45,55,98,100
