[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-09T11:39:25.249Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
3475,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3597,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3623,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3666,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3690,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3714,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3740,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3765,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3791,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3817,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3846,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3875,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3901,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3938,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3964,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3990,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4015,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4039,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4063,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4171,,,,58,68,104,104,32,32,74,74,2,2,67,67,108,108
4178,,,,58,68,104,104,32,32,74,74,2,2,67,67,108,108
4185,,,,58,68,104,104,32,32,74,74,2,2,67,67,108,108
4185,448.24052866178124,718.3300542824821,-1.4249273865613783,58,68,104,104,32,32,74,74,2,2,67,67,108,108
4193,441.88155001689563,659.186265706914,-1.5917904123636148,52,62,101,101,32,32,77,77,8,8,65,65,109,109
4197,441.7134517227746,657.498924590678,-1.672455713458862,49,59,100,100,32,32,78,78,11,11,64,64,110,110
4204,443.40864516437534,654.9612835645563,-1.6915986836689902,48,58,99,99,32,32,79,79,12,12,64,64,110,110
4210,444.7663182156329,650.6731549269939,-1.7410725211249052,46,56,98,98,32,32,79,79,13,13,64,64,111,111
4216,440.1205235307734,648.4812239421711,-1.9976610948228597,37,47,94,94,32,32,84,84,23,23,62,62,113,113
4222,438.74713200331036,645.8766741488657,-2.260977048762453,28,38,89,89,32,32,89,89,32,32,59,59,2,2
4228,440.0418429918987,644.9961406229479,-2.499794268079535,19,29,85,85,32,32,93,93,41,41,57,57,5,5
4275,439.5911945920659,644.0084650225742,-2.936246154168837,3,13,77,77,32,32,101,101,56,56,53,53,9,9
4375,438.0410514007166,643.5876743288328,2.9126793437862863,101,111,69,69,32,32,109,109,72,72,49,49,12,12
4475,,,,101,111,69,69,32,32,109,109,72,72,49,49,12,12
4576,,,,101,111,69,69,32,32,109,109,72,72,49,49,12,12
4678,449.28540690571606,633.5274203650146,2.176599469069644,74,84,56,56,32,32,9,9,98,98,43,43,19,19
4777,451.0219212936795,629.1641096775384,2.1346167949171004,73,83,55,55,32,32,10,10,100,100,42,42,19,19
4878,446.0465211848345,627.7056868056345,2.7472009283480894,95,105,66,66,32,32,112,112,78,78,48,48,14,14
4977,443.02032934879196,625.7415420447703,-2.7905586546790255,9,19,80,80,32,32,98,98,51,51,54,54,7,7
5077,,,,9,19,80,80,32,32,98,98,51,51,54,54,7,7
5178,436.3770111624203,623.800957903705,-1.5406575937457314,54,64,102,102,32,32,76,76,6,6,66,66,109,109
5277,435.38612430190574,620.4108775566581,-1.2782515261388192,63,73,107,107,32,32,71,71,110,110,68,68,107,107
5377,435.427839559682,617.2623194738667,-1.0641695756081695,71,81,111,111,32,32,67,67,102,102,70,70,105,105
5477,435.3599702382502,614.1461346656209,-0.9605346952945755,74,84,112,112,32,32,65,65,98,98,71,71,104,104
5577,436.36516814232175,610.8840895390805,-1.0030752755515473,73,83,112,112,32,32,66,66,100,100,70,70,104,104
5677,436.99692872086086,609.0880278755653,-1.049721897132008,71,81,111,111,32,32,67,67,102,102,70,70,105,105
5777,438.0627364942402,607.9868898876209,-1.1802654449314618,67,77,108,108,32,32,69,69,106,106,69,69,106,106
5877,440.84940986275274,607.3995975167271,-1.6420298248214888,50,60,100,100,32,32,78,78,10,10,65,65,110,110
5977,442.47699191746534,607.9327106138394,-2.0065690714848747,37,47,94,94,32,32,84,84,23,23,61,61,113,113
6077,443.7673877458301,609.8829074192157,-2.298138723533313,26,36,88,88,32,32,89,89,33,33,59,59,3,3
