[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-11T13:11:05.572Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
595,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
694,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
795,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
894,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1001,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1095,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1195,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1295,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1396,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1494,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1596,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1691,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1792,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1891,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1996,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2091,332.4001778284296,704.4272349908001,0.773982408139956,24,34,31,31,32,32,34,34,36,36,86,86,88,88
2154,335.88529388578604,717.4135826399869,1.3974987826351903,46,56,42,42,32,32,23,23,14,14,92,92,83,83
2254,329.9172352408836,726.0262369502097,1.6296965777834278,55,65,46,46,32,32,19,19,5,5,94,94,81,81
2354,324.657197649166,733.9628382258333,1.998753380055631,68,78,53,53,32,32,12,12,105,105,97,97,77,77
2454,322.9901481678698,737.9305411110627,2.3460698665430995,80,90,59,59,32,32,6,6,92,92,101,101,74,74
2554,327.06849046359406,737.5014873228757,2.6779768160799153,92,102,65,65,32,32,113,113,80,80,104,104,71,71
2654,333.37386747322745,735.5215043249821,2.826315144496122,98,108,68,68,32,32,110,110,75,75,105,105,70,70
2754,343.0383369168858,726.5967330423932,2.143380666053523,73,83,55,55,32,32,10,10,100,100,99,99,76,76
2854,349.25992959337617,722.2001572914821,1.7214465752136954,58,68,48,48,32,32,17,17,2,2,95,95,80,80
2954,343.98684422089957,722.6200430650691,1.0563269464288823,34,44,36,36,32,32,29,29,26,26,89,89,86,86
3054,339.6508296864127,725.6541226503058,0.5946577894285889,17,27,27,27,32,32,37,37,42,42,85,85,90,90
3154,335.5022872537817,724.0151081817424,0.06920840088725545,111,8,18,18,32,32,47,47,61,61,80,80,95,95
3253,336.58167498693496,717.7369047337977,-0.1909517253364391,102,112,13,13,32,32,52,52,71,71,78,78,97,97
3354,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
3454,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
3554,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
3656,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
3757,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
3856,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
3957,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4058,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4159,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4261,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4362,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4463,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4564,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4667,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4768,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4868,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
4969,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5071,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5173,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5276,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5376,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5478,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
5579,,,,102,112,13,13,32,32,52,52,71,71,78,78,97,97
