[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-10T11:48:13.535Z

ms,x,y,θ,start1,stop1,start2,stop2
19634,,,,68,78,33,35
19734,,,,68,78,33,35
19836,,,,68,78,33,35
19935,,,,68,78,33,35
20061,,,,68,78,33,35
20114,,,,68,78,33,35
20236,,,,68,78,33,35
20336,,,,68,78,33,35
20455,,,,68,78,33,35
20534,,,,68,78,33,35
20634,,,,68,78,33,35
20733,,,,68,78,33,35
20833,,,,68,78,33,35
20933,,,,68,78,33,35
21034,,,,68,78,33,35
21133,,,,68,78,33,35
21234,,,,68,78,33,35
21334,,,,68,78,33,35
21437,,,,68,78,33,35
21561,,,,68,78,33,35
21614,,,,68,78,33,35
21736,,,,68,78,33,35
21827,,,,68,78,33,35
21960,,,,68,78,33,35
22036,,,,68,78,33,35
22159,,,,68,78,33,35
22236,,,,68,78,33,35
22336,,,,68,78,33,35
22436,,,,68,78,33,35
22536,,,,68,78,33,35
22635,,,,68,78,33,35
22735,,,,68,78,33,35
22837,,,,68,78,33,35
22937,,,,68,78,33,35
23878,,,,68,78,33,35
23901,,,,68,78,33,35
23924,,,,68,78,33,35
23947,,,,68,78,33,35
23970,,,,68,78,33,35
23993,,,,68,78,33,35
24016,,,,68,78,33,35
24037,,,,68,78,33,35
24059,,,,68,78,33,35
24080,,,,68,78,33,35
24167,,,,68,78,33,35
24190,,,,68,78,33,35
24212,,,,68,78,33,35
24313,,,,68,78,33,35
24434,,,,68,78,33,35
24558,,,,68,78,33,35
24634,,,,68,78,33,35
24733,,,,68,78,33,35
24834,,,,68,78,33,35
24934,,,,68,78,33,35
25035,,,,68,78,33,35
25133,,,,68,78,33,35
25237,,,,68,78,33,35
25336,,,,68,78,33,35
25437,,,,68,78,33,35
25562,,,,68,78,33,35
25613,,,,68,78,33,35
25735,,,,68,78,33,35
25835,,,,68,78,33,35
25958,,,,68,78,33,35
26033,,,,68,78,33,35
26135,,,,68,78,33,35
26235,,,,68,78,33,35
26333,,,,68,78,33,35
26437,,,,68,78,33,35
26536,,,,68,78,33,35
26636,,,,68,78,33,35
26735,,,,68,78,33,35
26836,,,,68,78,33,35
26967,,,,68,78,33,35
27014,,,,68,78,33,35
27113,,,,68,78,33,35
27214,,,,68,78,33,35
27354,,,,68,78,33,35
27435,,,,68,78,33,35
27564,,,,68,78,33,35
27661,,,,68,78,33,35
27733,,,,68,78,33,35
27836,,,,68,78,33,35
27935,,,,68,78,33,35
28035,,,,68,78,33,35
28135,,,,68,78,33,35
28236,,,,68,78,33,35
28337,,,,68,78,33,35
28434,,,,68,78,33,35
28535,,,,68,78,33,35
30686,,,,68,78,33,35
30710,,,,68,78,33,35
30734,,,,68,78,33,35
30758,,,,68,78,33,35
30781,,,,68,78,33,35
30806,,,,68,78,33,35
30830,,,,68,78,33,35
30853,,,,68,78,33,35
30876,,,,68,78,33,35
30901,,,,68,78,33,35
30954,,,,68,78,33,35
30977,,,,68,78,33,35
31000,,,,68,78,33,35
31023,,,,68,78,33,35
31047,,,,68,78,33,35
31071,,,,68,78,33,35
31093,,,,68,78,33,35
31117,,,,68,78,33,35
31142,,,,68,78,33,35
31165,,,,68,78,33,35
31203,,,,68,78,33,35
31227,,,,68,78,33,35
31252,,,,68,78,33,35
31275,,,,68,78,33,35
31300,,,,68,78,33,35
31325,,,,68,78,33,35
31351,,,,68,78,33,35
31376,,,,68,78,33,35
31416,,,,68,78,33,35
31515,,,,68,78,33,35
31685,,,,68,78,33,35
31718,,,,68,78,33,35
31816,,,,68,78,33,35
31940,,,,68,78,33,35
32058,,,,68,78,33,35
32140,,,,68,78,33,35
32239,,,,68,78,33,35
32343,,,,68,78,33,35
32439,,,,68,78,33,35
32556,,,,68,78,33,35
32634,,,,68,78,33,35
32736,,,,68,78,33,35
32856,,,,68,78,33,35
32936,,,,68,78,33,35
33059,,,,68,78,33,35
33135,,,,68,78,33,35
33215,,,,68,78,33,35
33339,,,,68,78,33,35
33436,,,,68,78,33,35
33553,,,,68,78,33,35
33634,,,,68,78,33,35
33734,,,,68,78,33,35
33833,,,,68,78,33,35
33933,,,,68,78,33,35
34034,,,,68,78,33,35
34117,,,,68,78,33,35
34215,,,,68,78,33,35
34315,,,,68,78,33,35
34417,,,,68,78,33,35
35372,,,,68,78,33,35
35395,,,,68,78,33,35
35418,,,,68,78,33,35
35441,,,,68,78,33,35
35464,,,,68,78,33,35
35486,,,,68,78,33,35
35509,,,,68,78,33,35
35530,,,,68,78,33,35
35552,,,,68,78,33,35
35575,,,,68,78,33,35
35654,,,,68,78,33,35
35679,,,,68,78,33,35
35712,,,,68,78,33,35
35813,,,,68,78,33,35
35934,,,,68,78,33,35
36011,,,,68,78,33,35
36119,,,,68,78,33,35
36216,,,,68,78,33,35
36315,,,,68,78,33,35
36418,,,,68,78,33,35
36537,,,,68,78,33,35
36619,,,,68,78,33,35
36736,,,,68,78,33,35
36815,,,,68,78,33,35
36913,,,,68,78,33,35
37016,,,,68,78,33,35
37141,,,,68,78,33,35
37214,,,,68,78,33,35
37311,,,,68,78,33,35
37419,,,,68,78,33,35
37517,,,,68,78,33,35
37621,,,,68,78,33,35
37733,,,,68,78,33,35
37817,,,,68,78,33,35
37934,341.500595345558,642.3473967882933,1.0475455764228765,53,63,41,43
37996,347.4660312839853,640.4768125896389,1.208204713136446,57,67,39,41
38109,354.33958276893696,642.9053295638388,1.5618517368118985,66,76,34,36
38197,356.6403819995341,644.4834061076479,1.71560377400509,71,81,32,34
38300,359.2629028367829,648.4743363902471,1.821658321596303,73,83,30,32
38398,363.4045375590199,655.8420891914459,2.1549341480405526,82,92,25,27
38497,362.48328491119065,659.9329490617903,2.4126499915365387,89,99,22,24
38597,359.7484910440828,657.4348836952887,2.583007649598116,94,104,19,21
38697,357.8227085660129,654.7057606930058,2.7200305100882214,98,108,17,19
38798,358.4706182793835,651.1170390562839,3.021608016603682,106,3,13,15
38897,357.1679406160089,647.6147874834146,-3.027133361312456,112,9,10,12
38997,355.4186458304831,645.1355874273045,-2.85415369955708,4,14,7,9
39101,354.3597266427145,641.2121082758807,-2.644671539400532,9,19,4,6
39197,355.0954762316709,638.6141871740695,-2.4747998592124585,14,24,2,4
39298,355.7819508365284,638.462190629487,-2.475330368962356,14,24,2,4
39397,355.91481187987563,639.5254352748176,-2.8179635753150976,5,15,7,9
39497,356.6112659238306,641.2142763596498,-3.084671931186349,111,8,10,12
39597,357.996762296508,642.3468419301612,3.127044928808387,109,6,12,14
39697,361.26649829966783,644.2340645208914,2.892409899461824,102,112,15,17
39797,362.77621397531504,644.185751563277,2.7057241410194983,97,107,18,20
39897,362.84714086908957,643.4638259834901,2.5911701326940415,94,104,19,21
39997,361.0686538609595,643.5810558044848,2.388152593917748,89,99,22,24
40101,360.1340835853138,643.4857554919178,2.233780063183522,85,95,24,26
40197,359.44715048397114,643.3632712969377,2.1035310364947986,81,91,26,28
40297,359.1854867902891,642.9398190009389,2.0021564585548406,78,88,28,30
40397,358.20768639144603,642.3893376315626,1.8395060495457705,74,84,30,32
40497,358.5417569749417,641.4059401910271,1.6944295867225152,70,80,32,34
40598,358.8970348931201,640.9350192672485,1.435184218274717,63,73,36,38
40697,359.98850480458356,640.5238980529971,1.332704037822905,60,70,37,39
40797,361.049719806612,638.8072553845822,1.2731639414982752,59,69,38,40
40898,360.49200443578303,638.7051167022719,1.1182998635141186,54,64,40,42
40998,360.76691053583534,637.8872439308794,0.9728723416792108,50,60,43,45
41101,360.9887554903353,636.0393994265726,0.8857389644698269,48,58,44,46
41197,361.3109593895315,634.4786054296069,0.8049338677821377,46,56,45,47
41297,360.09342301234716,632.5524857624399,0.6440718039871591,42,52,47,49
41397,357.8245301309687,630.7617173520298,0.47852600322891564,37,47,50,52
41496,356.418870212251,629.5975418648826,0.26435572741841906,31,41,53,55
41597,356.57525016235854,628.464770878422,0.13698240778877246,28,38,55,57
41697,359.524296406854,628.363688169966,0.15823511591141629,29,39,54,56
41795,361.09272977827135,628.5568973748544,0.20115561140356192,30,40,54,56
