[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Three stationary suns"

    [[setup.suns]]
    link_factor = 0
    azimuth = 0
    width = 1
    red = 255
    [[setup.suns]]
    link_factor = 0
    green = 255
    azimuth = 90
    width = 1
    [[setup.suns]]
    blue = 255
    link_factor = 0
    azimuth = 180
    width = 1

[experiment]
datetime = 2023-12-11T12:25:25.045Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3
573,,,,1,1,29,29,57,57
674,,,,1,1,29,29,57,57
775,,,,1,1,29,29,57,57
873,,,,1,1,29,29,57,57
974,,,,1,1,29,29,57,57
1080,,,,1,1,29,29,57,57
1172,,,,1,1,29,29,57,57
1272,,,,1,1,29,29,57,57
1374,,,,1,1,29,29,57,57
1470,,,,1,1,29,29,57,57
1575,,,,1,1,29,29,57,57
1674,,,,1,1,29,29,57,57
1774,,,,1,1,29,29,57,57
1874,,,,1,1,29,29,57,57
1974,,,,1,1,29,29,57,57
2080,,,,1,1,29,29,57,57
2174,,,,1,1,29,29,57,57
2273,,,,1,1,29,29,57,57
2372,,,,1,1,29,29,57,57
2474,,,,1,1,29,29,57,57
2574,,,,1,1,29,29,57,57
2674,,,,1,1,29,29,57,57
2773,,,,1,1,29,29,57,57
2873,,,,1,1,29,29,57,57
2973,,,,1,1,29,29,57,57
3078,,,,1,1,29,29,57,57
3170,,,,1,1,29,29,57,57
3272,,,,1,1,29,29,57,57
3371,,,,1,1,29,29,57,57
3475,,,,1,1,29,29,57,57
3572,,,,1,1,29,29,57,57
3673,,,,1,1,29,29,57,57
3772,,,,1,1,29,29,57,57
3873,,,,1,1,29,29,57,57
3973,,,,1,1,29,29,57,57
4074,,,,1,1,29,29,57,57
4173,,,,1,1,29,29,57,57
4271,,,,1,1,29,29,57,57
4373,,,,1,1,29,29,57,57
4473,,,,1,1,29,29,57,57
4573,,,,1,1,29,29,57,57
4672,,,,1,1,29,29,57,57
4771,,,,1,1,29,29,57,57
4872,,,,1,1,29,29,57,57
4973,,,,1,1,29,29,57,57
5075,,,,1,1,29,29,57,57
5173,,,,1,1,29,29,57,57
5275,,,,1,1,29,29,57,57
5373,,,,1,1,29,29,57,57
5473,,,,1,1,29,29,57,57
5573,,,,1,1,29,29,57,57
5671,,,,1,1,29,29,57,57
5774,,,,1,1,29,29,57,57
5873,,,,1,1,29,29,57,57
5972,,,,1,1,29,29,57,57
6077,,,,1,1,29,29,57,57
6170,,,,1,1,29,29,57,57
6273,,,,1,1,29,29,57,57
6373,,,,1,1,29,29,57,57
6473,,,,1,1,29,29,57,57
6572,,,,1,1,29,29,57,57
6674,,,,1,1,29,29,57,57
