[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-09T22:24:53.903Z

ms,x,y,θ,start1,stop1,start2,stop2
1142,,,,24,34,56,58
1142,,,,24,34,56,58
1188,,,,24,34,56,58
1188,,,,24,34,56,58
1226,,,,24,34,56,58
1278,,,,24,34,56,58
1380,,,,24,34,56,58
1478,,,,24,34,56,58
1579,,,,24,34,56,58
1682,,,,24,34,56,58
1782,,,,24,34,56,58
1887,,,,24,34,56,58
2002,,,,24,34,56,58
2090,,,,24,34,56,58
2243,,,,24,34,56,58
2277,,,,24,34,56,58
2374,,,,24,34,56,58
2476,,,,24,34,56,58
2687,,,,88,98,83,85
2711,459.5584010668444,506.0674042386258,-1.8373446787186296,88,98,83,85
2749,,,,88,98,83,85
2849,,,,88,98,83,85
2950,,,,88,98,83,85
3051,,,,88,98,83,85
3251,,,,88,98,83,85
3260,,,,88,98,83,85
3351,495.16518001854115,622.982976844044,-2.200939905553062,78,88,88,90
3449,497.0618737974308,619.2569613540393,-1.9951311448328424,83,93,85,87
3545,499.2983196740297,620.3660007178313,-1.872996453225169,87,97,83,85
3725,503.34989051285334,621.3399535912737,-1.4654359793010312,98,108,78,80
3746,499.9666766181389,615.6557751421389,-1.2990625862563996,102,112,75,77
3844,497.84844185369144,610.2954764172828,-1.1712760429401383,106,3,73,75
3951,498.69432335427507,608.9376126374494,-0.9919243479115369,110,7,71,73
4044,502.8821662010375,610.2014960069548,-0.7716664897300957,3,13,68,70
4145,505.61677403818294,610.938397445251,-0.5830379993313006,9,19,65,67
4245,506.76648753729637,608.9874188157769,-0.38171929102620217,14,24,62,64
4357,504.02907370818116,604.4842081834316,-0.27675454671802824,17,27,60,62
4446,504.20894936228933,604.4132726475904,-0.19884451886542492,19,29,59,61
4545,506.65676710491476,608.1754606017806,-0.1380155643880201,21,31,58,60
4645,507.45991083701927,608.5974783063734,-0.15135314527384927,20,30,59,61
4752,502.84819362646385,607.0791656361697,-0.3434053963640862,15,25,61,63
4845,503.5683472792323,611.2985455280333,-0.6445959299844157,7,17,66,68
4947,504.83327709554214,614.4996886884691,-0.8354196871348167,2,12,69,71
5041,503.2945115310498,614.7061346242599,-0.9100164039903347,113,10,70,72
5148,503.8024601108407,618.7742732650254,-1.012898529744657,110,7,71,73
5251,501.4197329270681,618.0707732275669,-1.1059005489099085,107,4,72,74
5341,497.99103311901877,614.5583664991121,-1.230698276835996,104,1,74,76
5441,495.21092660493866,616.6679892623605,-1.3699141538656487,100,110,76,78
5541,495.3610061332411,621.2138202326031,-1.478664867135477,97,107,78,80
5640,496.4933083826364,625.4262540135585,-1.5935856786821812,94,104,79,81
5740,498.4512524033458,629.8877239943469,-1.7093747862496538,91,101,81,83
5840,498.8085510245521,633.3499648045074,-1.8787777113822879,87,97,84,86
5941,497.00951676042615,637.4037448035347,-2.121598552670442,80,90,87,89
6053,493.9088142364756,637.7296749549905,-2.3716422783734963,73,83,91,93
6141,491.6696282444452,634.6542972709289,-2.544349213269478,69,79,93,95
6240,491.4348715573808,633.5983209023206,-2.6815756521062624,65,75,95,97
6349,491.1329731740665,633.5299166847509,-2.8366218783955968,61,71,97,99
6439,492.3461155906431,633.1376620176327,-2.974704087505625,57,67,99,101
6536,493.840147044305,635.7401242465833,-3.1330698385649063,53,63,102,104
6636,495.0818251445011,639.3145095171517,2.9825741926418017,48,58,104,106
6749,493.29398535400696,638.9264026283673,2.853995891248338,45,55,106,108
6837,491.2343946916877,638.6344239267025,2.756509328440967,42,52,107,109
6965,489.9332955161447,639.2686107632774,2.6907673018784646,40,50,108,110
7039,487.1619750816413,634.6859393121524,2.754550000188089,42,52,107,109
7139,487.2872679925798,632.3748419413334,2.8019946651008647,43,53,107,109
7239,487.438977081325,633.2781917428498,2.8427196831766874,44,54,106,108
7338,487.5935012723824,632.2911646952824,2.9011539306432432,46,56,105,107
7439,486.8310799295916,631.3885295883886,3.028625169571832,49,59,103,105
7554,488.4634103294587,632.4631317681066,-3.1335329649961867,53,63,102,104
7639,490.836537341423,633.5124191095989,-3.07163495496513,54,64,101,103
7742,489.28925231888985,629.9470832777622,-3.019751368033774,56,66,100,102
7833,486.0281918687921,626.4032639163579,-2.949157811252616,58,68,99,101
7933,487.49159599401344,629.2194409011173,-2.87569415560204,60,70,98,100
8033,491.1562889264359,633.0052319131604,-2.799159006182384,62,72,97,99
8147,492.7794634714583,632.932832495383,-2.658812748337448,66,76,95,97
8243,492.4746626898323,628.0263956756806,-2.557716224139393,68,78,93,95
8346,491.28900129718494,625.1052113789383,-2.479185552473944,70,80,92,94
8473,490.99471085249104,624.078339982375,-2.4319058350948053,72,82,91,93
8535,491.82679529721594,624.8439877161211,-2.3858411517596085,73,83,91,93
8771,492.2576452385374,625.5058973756134,-2.3576925989632036,74,84,90,92
8781,492.24652901717786,625.3250854960042,-2.328458883491873,74,84,90,92
8835,491.34178592514036,623.7737531155025,-2.228578559939022,77,87,89,91
8935,491.19217787105447,621.4191647985297,-2.0488676173604192,82,92,86,88
9125,492.3578573776193,620.821631284011,-1.8905999895586005,86,96,84,86
9136,492.7609955853208,618.3545890368125,-1.7819168828299317,89,99,82,84
9231,493.732155512022,617.1922887934495,-1.6827938461417957,92,102,81,83
9331,495.6553985657996,618.3256199909843,-1.577033940492457,95,105,79,81
9431,496.5734532422832,619.7298693440669,-1.4459986202772133,98,108,77,79
9531,494.5571643930464,621.4803206831346,-1.2807703880516021,103,113,75,77
9631,490.63852819860233,623.4710452072022,-0.995565722485549,110,7,71,73
