[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-10T12:28:07.329Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
741,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
768,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
799,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
881,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
983,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1104,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1231,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1280,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1383,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1503,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1608,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1680,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1793,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1883,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1981,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2079,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2183,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2283,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2391,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2481,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2581,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2681,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2781,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2881,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2985,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3081,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3183,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3280,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3380,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3480,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3582,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3681,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3782,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3881,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3981,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4082,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4187,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4287,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4384,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4485,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4584,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4683,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4783,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4888,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4984,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
