[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-11T11:34:32.827Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
1379,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1777,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1800,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1826,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1851,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1877,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1904,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1931,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1958,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2005,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2117,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2205,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2305,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2405,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2504,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2626,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2727,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2828,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2926,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3029,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3135,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3227,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3326,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3426,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3527,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3625,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3727,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3827,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3926,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4028,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4133,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4229,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4306,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4404,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4506,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4626,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4727,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4826,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4927,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5027,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
