[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Three stationary suns"

    [[setup.suns]]
    link_factor = 0
    azimuth = 0
    width = 1
    red = 255
    [[setup.suns]]
    link_factor = 0
    green = 255
    azimuth = 90
    width = 1
    [[setup.suns]]
    blue = 255
    link_factor = 0
    azimuth = 180
    width = 1

[experiment]
datetime = 2023-12-11T12:55:01.228Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3
1237,,,,1,1,29,29,57,57
1310,,,,1,1,29,29,57,57
1334,,,,1,1,29,29,57,57
1358,,,,1,1,29,29,57,57
1414,,,,1,1,29,29,57,57
1515,,,,1,1,29,29,57,57
1614,,,,1,1,29,29,57,57
1715,,,,1,1,29,29,57,57
1815,,,,1,1,29,29,57,57
1914,,,,1,1,29,29,57,57
2015,,,,1,1,29,29,57,57
2120,,,,1,1,29,29,57,57
2213,,,,1,1,29,29,57,57
2320,,,,1,1,29,29,57,57
2422,,,,1,1,29,29,57,57
2519,,,,1,1,29,29,57,57
2613,,,,1,1,29,29,57,57
2719,,,,1,1,29,29,57,57
2813,,,,1,1,29,29,57,57
2913,,,,1,1,29,29,57,57
3012,,,,1,1,29,29,57,57
3118,,,,1,1,29,29,57,57
3212,,,,1,1,29,29,57,57
3323,,,,1,1,29,29,57,57
3425,,,,1,1,29,29,57,57
3521,,,,1,1,29,29,57,57
3618,,,,1,1,29,29,57,57
3724,,,,1,1,29,29,57,57
3825,,,,1,1,29,29,57,57
3925,,,,1,1,29,29,57,57
4027,,,,1,1,29,29,57,57
4128,,,,1,1,29,29,57,57
4225,,,,1,1,29,29,57,57
4315,,,,1,1,29,29,57,57
4422,,,,1,1,29,29,57,57
4522,,,,1,1,29,29,57,57
4626,,,,1,1,29,29,57,57
4718,,,,1,1,29,29,57,57
4817,,,,1,1,29,29,57,57
4919,,,,1,1,29,29,57,57
5018,,,,1,1,29,29,57,57
5116,,,,1,1,29,29,57,57
5214,,,,1,1,29,29,57,57
5315,,,,1,1,29,29,57,57
5418,,,,1,1,29,29,57,57
5517,,,,1,1,29,29,57,57
5620,,,,1,1,29,29,57,57
5714,,,,1,1,29,29,57,57
5816,,,,1,1,29,29,57,57
5920,,,,1,1,29,29,57,57
