[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-09T11:44:07.888Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
3546,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3670,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3696,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3739,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3763,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3786,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3812,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3838,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3864,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3890,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3915,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3941,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3967,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4005,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4029,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4149,,,,36,46,37,37,32,32,28,28,24,24,89,89,85,85
4153,319.66248250754523,647.4913070176585,0.8899410899858751,36,46,37,37,32,32,28,28,24,24,89,89,85,85
4153,329.9875067319502,655.6640686390007,0.9472328469935544,36,46,37,37,32,32,28,28,24,24,89,89,85,85
4154,340.5810882955285,657.174935189846,1.1114144010266531,36,46,37,37,32,32,28,28,24,24,89,89,85,85
4155,360.8587947440215,653.4590098170967,2.14577923741688,73,83,55,55,32,32,9,9,100,100,99,99,76,76
4160,359.9933818104441,647.1626024138222,2.4599520968028052,84,94,61,61,32,32,4,4,88,88,102,102,73,73
4166,356.40892098194024,644.7220832492409,3.0781446922697238,107,4,72,72,32,32,106,106,66,66,107,107,67,67
4172,351.68433508896874,642.6690381375404,-2.7300381730239174,11,21,81,81,32,32,97,97,49,49,111,111,63,63
4178,349.14440363024494,642.0750675470634,-2.304325879207404,26,36,88,88,32,32,90,90,34,34,2,2,59,59
4184,349.2477042445979,642.4480781400048,-1.9645793113818084,38,48,94,94,32,32,83,83,21,21,5,5,56,56
4190,352.37171850577465,643.9574911010338,-1.677238622549089,49,59,100,100,32,32,78,78,11,11,8,8,54,54
4195,358.3709054976113,643.6458168456231,-1.130190244790021,68,78,109,109,32,32,68,68,104,104,13,13,49,49
4201,361.56855673300316,645.2102426549744,-0.8993651967366413,77,87,1,1,32,32,64,64,96,96,15,15,47,47
4206,359.0512746513161,645.0016305899396,-1.5216876686179328,54,64,102,102,32,32,75,75,6,6,9,9,52,52
4250,358.16332641222925,650.2833591904914,-2.4187408790244604,22,32,86,86,32,32,92,92,38,38,1,1,60,60
4352,359.2524231257371,654.0434464642492,-3.0238130546235316,113,10,75,75,32,32,102,102,60,60,109,109,66,66
4453,359.40366062178657,659.7613368903111,2.455853895949587,84,94,61,61,32,32,4,4,88,88,102,102,73,73
4553,355.9235353588135,657.6716065529743,1.6479913540934648,55,65,46,46,32,32,18,18,5,5,94,94,80,80
4654,355.19068229941263,654.2606673420212,1.2562308837506138,41,51,39,39,32,32,25,25,19,19,91,91,84,84
4753,364.0573887917936,653.8051717330883,1.6439664093351867,55,65,46,46,32,32,19,19,5,5,94,94,80,80
4854,375.18621960526133,652.8559454753772,2.2946915849324023,79,89,58,58,32,32,7,7,94,94,100,100,75,75
4953,,,,79,89,58,58,32,32,7,7,94,94,100,100,75,75
