[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Two different suns"

    [[setup.suns]]
    link_factor = 1.5
    green = 255
    azimuth = 90
    width = 11
    red = 100
    [[setup.suns]]
    blue = 255
    link_factor = -0.8
    green = 128
    azimuth = 180
    width = 3
    red = 41

[experiment]
datetime = 2023-12-09T21:58:15.580Z

ms,x,y,θ,start1,stop1,start2,stop2
1408,,,,24,34,56,58
1704,,,,24,34,56,58
1733,,,,24,34,56,58
1764,,,,24,34,56,58
1799,,,,24,34,56,58
1832,,,,24,34,56,58
1861,,,,24,34,56,58
1900,,,,24,34,56,58
1987,,,,24,34,56,58
1659,,,,24,34,56,58
1444,,,,24,34,56,58
1397,,,,24,34,56,58
2056,,,,24,34,56,58
2152,,,,24,34,56,58
2276,,,,24,34,56,58
2362,,,,24,34,56,58
2482,,,,24,34,56,58
2582,,,,24,34,56,58
2661,,,,24,34,56,58
2905,371.5933194365859,654.39726169645,-2.070968419085565,74,84,90,92
2905,355.94281115766887,644.8117951953415,-2.327565955931696,74,84,90,92
2927,351.5284839890491,649.696958165269,-2.565468452786726,68,78,93,95
3039,355.4294727411373,655.3434721532311,-2.7776895964519355,62,72,96,98
3139,361.99405738673124,660.179319934813,-3.129465742679843,53,63,102,104
3239,364.3513516982113,656.1596324074778,2.7978420984780055,43,53,107,109
3339,369.50076207247395,659.0712531847557,2.543160794612424,36,46,110,112
3438,372.4527273089861,656.4484916941078,2.3287619015383574,31,41,113,2
3538,371.68082757697704,653.2883331363424,2.290650655217206,30,40,1,3
3635,372.4525871541915,655.5037711681032,2.516868902685733,36,46,111,113
3735,374.90431008643446,657.814104764429,2.8567416201983646,45,55,106,108
3835,374.9110031976296,654.0215591299836,3.039110766470151,50,60,103,105
3936,377.4506442905766,651.9433231945783,-3.008588971415525,56,66,100,102
4035,379.6180257475775,650.8672833517074,-2.779867012227641,62,72,96,98
4135,378.8720894127882,648.7992569365067,-2.476189095320108,70,80,92,94
4235,377.4289864160688,645.3453893411296,-2.241277689603838,77,87,89,91
4335,378.87555402685956,644.2763800112049,-2.0409303990158025,82,92,86,88
4427,377.9601479966687,642.580007013516,-1.8308838520993067,88,98,83,85
4523,379.1190138488911,641.3052519318296,-1.5623278135791419,95,105,79,81
4627,377.98270117953786,638.8045174427732,-1.3238858724522056,102,112,76,78
4724,378.7044753574636,637.1337227884123,-1.128422604928388,107,4,73,75
4835,379.32625846969944,635.1938366221568,-0.9390135674439015,112,9,70,72
4923,382.4235447485055,633.5880028693233,-0.6637297436604649,6,16,66,68
5031,386.671359986494,629.7573021449618,-0.41566730375726224,13,23,62,64
5131,389.86835168251696,624.0646539656115,-0.1788904577398899,19,29,59,61
5231,392.84531823122035,621.8325930784983,0.07123651854298152,26,36,55,57
5331,397.6683041032493,621.7368276445543,0.36210853396217346,34,44,51,53
5431,401.8023199693631,619.5090399327406,0.6383416902350536,41,51,47,49
5530,403.19866624522695,615.8306429630601,0.870046444922209,48,58,44,46
5636,405.66389123978024,616.4246630717244,1.0971801104648353,54,64,41,43
5731,406.3959300265245,616.3725072988774,1.3097668699518896,60,70,38,40
5831,406.8769177972959,615.7766322562087,1.559800010696838,66,76,34,36
5932,406.4375558855569,616.5692744772759,1.730446638690642,71,81,32,34
6031,407.20572990080643,619.233023325997,1.8088170725656176,73,83,30,32
6131,407.010288148678,624.2392585053808,1.8169745506802952,73,83,30,32
6232,403.5680713725543,629.5240623216475,1.562018513653282,66,76,34,36
6330,403.1510832626879,633.39104425201,1.1978164801558648,57,67,39,41
6427,399.3288366274374,632.6128463746824,0.9333672068166562,49,59,43,45
6528,396.6545792377814,631.6767741564296,0.8341515042999796,47,57,44,46
6627,394.05020210349085,632.5043662532543,0.5912907793049804,40,50,48,50
6726,389.6685699971671,632.1135036874515,0.30164698959090125,32,42,52,54
6827,386.6710765776271,631.1766150158297,0.08323635030720038,26,36,55,57
6927,382.2338695271816,632.0735220937095,-0.19275952639359695,19,29,59,61
7027,378.1979800003457,634.2256840590741,-0.44504907050748843,12,22,63,65
7127,376.4487928235101,634.1177162940962,-0.5799196139484508,9,19,65,67
7227,374.2135482004181,635.8783694771793,-0.7659829049749546,4,14,68,70
7333,,,,4,14,68,70
7428,,,,4,14,68,70
7529,,,,4,14,68,70
7630,,,,4,14,68,70
7734,,,,4,14,68,70
7830,,,,4,14,68,70
7934,,,,4,14,68,70
8036,,,,4,14,68,70
8120,,,,4,14,68,70
8239,,,,4,14,68,70
8342,,,,4,14,68,70
8446,,,,4,14,68,70
8545,,,,4,14,68,70
8646,,,,4,14,68,70
8746,,,,4,14,68,70
8849,,,,4,14,68,70
8951,,,,4,14,68,70
9052,,,,4,14,68,70
9154,,,,4,14,68,70
9250,,,,4,14,68,70
9327,,,,4,14,68,70
9449,,,,4,14,68,70
9544,,,,4,14,68,70
9650,,,,4,14,68,70
9744,,,,4,14,68,70
9850,,,,4,14,68,70
9951,,,,4,14,68,70
10041,,,,4,14,68,70
10155,,,,4,14,68,70
10241,,,,4,14,68,70
10354,,,,4,14,68,70
10448,,,,4,14,68,70
10549,,,,4,14,68,70
10653,,,,4,14,68,70
10748,,,,4,14,68,70
10848,,,,4,14,68,70
10950,,,,4,14,68,70
11030,,,,4,14,68,70
11170,,,,4,14,68,70
