[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-09T11:58:52.007Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
2288,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2411,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2436,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2461,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2486,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2511,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2536,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2561,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2586,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2620,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2644,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2667,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2690,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2713,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2736,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2761,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2784,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2807,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2838,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2942,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3036,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3136,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3236,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3336,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3452,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3558,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3657,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3759,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3856,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3961,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4057,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4158,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4259,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4463,276.0309563497279,682.0049430480218,1.3554899217267753,58,68,48,48,32,32,17,17,2,2,95,95,80,80
4464,279.54748845137806,683.5460091180194,1.728891403512313,58,68,48,48,32,32,17,17,2,2,95,95,80,80
4517,287.49071661036686,685.505942996773,2.110858411570785,72,82,55,55,32,32,10,10,101,101,98,98,76,76
4620,290.8072244512042,685.3072952775838,2.2100130050912865,75,85,56,56,32,32,8,8,97,97,99,99,75,75
4719,291.9378718199795,678.6113229548288,2.5073946663885005,86,96,62,62,32,32,3,3,87,87,102,102,73,73
4820,295.8373507967639,672.6967618257726,2.9282666062837,101,111,69,69,32,32,108,108,71,71,106,106,69,69
4920,303.1659957471041,666.836606139579,3.085013989343066,107,4,72,72,32,32,106,106,66,66,107,107,67,67
5020,311.4476383720885,661.1498633929099,-2.9105439703630047,4,14,77,77,32,32,100,100,55,55,110,110,65,65
5120,315.9892432975857,655.340956772103,-2.747037067698431,10,20,80,80,32,32,97,97,50,50,111,111,63,63
5220,316.84559548594393,650.1505139725203,-2.6229736776765766,15,25,83,83,32,32,95,95,45,45,112,112,62,62
5319,316.44347478611974,650.6649352266728,-2.693619239872832,12,22,81,81,32,32,97,97,48,48,112,112,63,63
5420,317.0868993925318,655.9484372050545,-2.8886787410245542,5,15,78,78,32,32,100,100,55,55,110,110,65,65
5520,320.61118501456957,660.8513645770379,-3.0857920027445203,111,8,74,74,32,32,104,104,62,62,108,108,66,66
5620,321.978724863151,666.5831701831518,2.9757189578987346,103,113,70,70,32,32,108,108,70,70,106,106,68,68
5720,322.70177941304166,670.9264242662925,2.8365888803602086,98,108,68,68,32,32,110,110,75,75,105,105,70,70
5820,323.9768871213859,675.4774645207048,2.6566795186987986,92,102,64,64,32,32,113,113,81,81,103,103,71,71
5920,326.1170254365509,679.4901207506823,2.4086291018232626,83,93,60,60,32,32,5,5,90,90,101,101,74,74
6020,325.8844232861244,683.2285509099366,2.2130997122131553,76,86,56,56,32,32,8,8,97,97,99,99,75,75
6120,326.1577685895866,684.8044809178118,2.0286187930919963,69,79,53,53,32,32,12,12,104,104,98,98,77,77
6220,326.0482208575946,684.3028816529198,1.77775659884941,60,70,49,49,32,32,16,16,113,113,95,95,79,79
6320,325.38765852068076,683.1374701397299,1.5227110538842201,51,61,44,44,32,32,21,21,9,9,93,93,81,81
6420,324.01164675291255,683.1800360886831,1.3044539225407874,43,53,40,40,32,32,25,25,17,17,91,91,83,83
6520,325.06881190257116,684.2415506980918,1.1535584331002364,37,47,37,37,32,32,27,27,22,22,90,90,85,85
6620,325.31047539781264,684.6281339940194,1.0296181817463221,33,43,35,35,32,32,30,30,27,27,89,89,86,86
6720,325.25706847292344,685.9700140647119,0.9011168279968972,28,38,33,33,32,32,32,32,31,31,88,88,87,87
6820,323.647775087123,687.6910730514405,0.7078991671702964,21,31,29,29,32,32,35,35,38,38,86,86,89,89
6920,321.32572976197287,690.4646537409142,0.4710813542565434,13,23,25,25,32,32,40,40,47,47,84,84,91,91
7020,319.80600488515796,693.8257072344497,0.33543501998622405,8,18,23,23,32,32,42,42,52,52,82,82,92,92
