[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-09T11:23:07.465Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
3586,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3785,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3810,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3835,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3953,366.8190744457683,645.7247509378498,2.383062356554296,65,75,51,51,32,32,14,14,108,108,97,97,78,78
3954,371.04622091088163,637.1118764509386,1.9122235724248426,65,75,51,51,32,32,14,14,108,108,97,97,78,78
3954,375.72307234894043,630.2758689063546,1.8115338141428137,65,75,51,51,32,32,14,14,108,108,97,97,78,78
3955,379.8375521201284,636.8089699749706,2.0204868096942974,65,75,51,51,32,32,14,14,108,108,97,97,78,78
3958,372.4266599036555,641.6118514618739,1.8037139085326122,61,71,49,49,32,32,16,16,112,112,96,96,79,79
3963,375.2901652647796,645.0129934115829,1.7702346335502381,60,70,49,49,32,32,16,16,113,113,95,95,79,79
3967,375.64007516428654,645.1371004026767,1.7516992326011407,59,69,48,48,32,32,17,17,1,1,95,95,79,79
3972,376.44438488578527,648.7660377902071,1.7287191401223188,58,68,48,48,32,32,17,17,2,2,95,95,80,80
3976,374.0103077514699,651.9937642834648,1.6961185406750372,57,67,47,47,32,32,18,18,3,3,95,95,80,80
3981,372.93085219217835,654.7328419294583,1.7104637728230474,58,68,47,47,32,32,17,17,2,2,95,95,80,80
