[camera]
# width=480
# height=640
# width=720
# height=1280
# width=1536
# height=1024
# width=640
# height=480
# fps=30

[detection]
tag_pixel_width = 100
widen_radius = 15

[arena]
nleds = 113#198
ring_r = 30 # in cm
origo_offset = [360, 360] # in pixels
cm_per_pixel = 0.1
baudrate = 115200#9600###921600#

[setup]
label = "Crazy"

    [[setup.suns]]
    link_factor = 2
    green = 255
    width = 11
    [[setup.suns]]
    blue = 255
    link_factor = 1
    azimuth = 50
    [[setup.suns]]
    link_factor = 0
    azimuth = 100
    red = 255
    [[setup.suns]]
    link_factor = -1
    green = 255
    azimuth = 150
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = -2
    azimuth = 200
    red = 255
    [[setup.suns]]
    blue = 255
    link_factor = 0.5
    green = 255
    azimuth = 250
    [[setup.suns]]
    blue = 255
    link_factor = -0.5
    green = 255
    azimuth = 300
    red = 255

[experiment]
datetime = 2023-12-11T13:04:26.875Z

ms,x,y,θ,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7
1396,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1455,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1479,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1504,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1528,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1617,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1724,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1816,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
1916,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2016,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2135,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2226,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2328,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2439,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2536,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2637,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2735,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2836,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
2937,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3038,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3144,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3236,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3336,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3437,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3540,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3635,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3736,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3838,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
3935,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4037,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4137,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4237,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4337,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4438,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4539,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4634,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4737,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4837,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
4936,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5039,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5139,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5236,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5336,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5435,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5536,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5635,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5737,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5837,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
5936,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6035,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6137,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6235,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6337,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6437,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6538,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6636,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6737,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6838,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
6936,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7036,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7139,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7236,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7335,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7437,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7538,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7639,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7737,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7837,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
7937,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8037,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8138,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8237,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8337,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8437,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8537,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8635,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8736,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8837,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
8937,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9039,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9139,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9240,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9339,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9438,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9536,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9635,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9735,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9836,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
9937,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10038,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10137,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10237,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10339,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10438,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10538,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10615,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10732,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10838,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
10935,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11036,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11138,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11236,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11338,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11437,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11537,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11636,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11736,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11836,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
11915,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12017,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12124,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12237,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12338,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12439,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12536,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12633,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12736,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12837,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
12936,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13038,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13138,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13236,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13336,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13439,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13538,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13637,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13738,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13839,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
13938,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14040,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14135,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14238,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14336,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14431,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14530,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14630,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14718,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14839,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
14937,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15038,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15140,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15237,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15338,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15437,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15540,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15639,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15731,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15837,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
15938,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16038,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16136,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16237,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16337,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16437,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16537,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16638,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16733,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16835,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
16936,,,,109,6,17,17,32,32,48,48,64,64,79,79,95,95
