t,x,y,θ,led
2023-09-21T12:47:53.916,,,,[0]
2023-09-21T12:47:53.950,,,,[0]
2023-09-21T12:47:53.977,,,,[0]
2023-09-21T12:47:54.015,,,,[0]
2023-09-21T12:47:54.043,,,,[0]
2023-09-21T12:47:54.075,,,,[0]
2023-09-21T12:47:54.111,,,,[0]
2023-09-21T12:47:54.149,,,,[0]
2023-09-21T12:47:54.174,,,,[0]
2023-09-21T12:47:54.212,,,,[0]
2023-09-21T12:47:54.248,,,,[0]
2023-09-21T12:47:54.279,,,,[0]
2023-09-21T12:47:54.315,,,,[0]
2023-09-21T12:47:54.349,,,,[0]
2023-09-21T12:47:54.380,,,,[0]
2023-09-21T12:47:54.412,,,,[0]
2023-09-21T12:47:54.445,,,,[0]
2023-09-21T12:47:54.479,,,,[0]
2023-09-21T12:47:54.516,,,,[0]
2023-09-21T12:47:54.548,,,,[0]
2023-09-21T12:47:54.575,,,,[0]
2023-09-21T12:47:54.610,,,,[0]
2023-09-21T12:47:54.646,,,,[0]
2023-09-21T12:47:54.679,,,,[0]
2023-09-21T12:47:54.710,,,,[0]
2023-09-21T12:47:54.748,,,,[0]
2023-09-21T12:47:54.777,,,,[0]
2023-09-21T12:47:54.815,,,,[0]
2023-09-21T12:47:54.842,,,,[0]
2023-09-21T12:47:54.880,,,,[0]
2023-09-21T12:47:54.910,,,,[0]
2023-09-21T12:47:54.955,,,,[0]
2023-09-21T12:47:54.976,,,,[0]
2023-09-21T12:47:55.011,,,,[0]
2023-09-21T12:47:55.048,,,,[0]
2023-09-21T12:47:55.081,,,,[0]
2023-09-21T12:47:55.116,,,,[0]
