t,x,y,θ,led
2023-09-21T12:42:54.660,,,,2023-09-21T12:42:54.759,,,,2023-09-21T12:42:54.796,,,,2023-09-21T12:42:54.829,,,,2023-09-21T12:42:54.860,,,,2023-09-21T12:42:54.892,,,,2023-09-21T12:42:54.929,,,,2023-09-21T12:42:54.954,,,,[0]
[0]
2023-09-21T12:42:54.628,,,,[0]
2023-09-21T12:42:54.728,,,,[0]
2023-09-21T12:42:54.691,,,,[0]
[0]
[0]
[0]
[0]
2023-09-21T12:42:54.989,,,,[0]
2023-09-21T12:42:55.026,,,,[0]
2023-09-21T12:42:55.061,,,,[0]
2023-09-21T12:42:55.094,,,,[0]
2023-09-21T12:42:55.129,,,,[0]
[0]
[0]
2023-09-21T12:42:55.161,,,,[0]
2023-09-21T12:42:55.216,,,,[0]
2023-09-21T12:42:55.231,,,,[0]
2023-09-21T12:42:55.260,,,,[0]
2023-09-21T12:42:55.291,,,,[0]
2023-09-21T12:42:55.343,,,,[0]
2023-09-21T12:42:55.361,,,,[0]
2023-09-21T12:42:55.396,,,,[0]
2023-09-21T12:42:55.429,,,,[0]
2023-09-21T12:42:55.459,,,,[0]
2023-09-21T12:42:55.491,,,,[0]
2023-09-21T12:42:55.527,,,,[0]
2023-09-21T12:42:55.559,,,,[0]
2023-09-21T12:42:55.594,,,,[0]
2023-09-21T12:42:55.640,,,,[0]
2023-09-21T12:42:55.660,,,,[0]
2023-09-21T12:42:55.690,,,,[0]
2023-09-21T12:42:55.726,,,,[0]
2023-09-21T12:42:55.758,,,,[0]
2023-09-21T12:42:55.795,,,,[0]
2023-09-21T12:42:55.826,,,,[0]
2023-09-21T12:42:55.858,,,,[0]
2023-09-21T12:42:55.892,,,,[0]
2023-09-21T12:42:55.927,,,,[0]
2023-09-21T12:42:55.959,,,,[0]
2023-09-21T12:42:55.995,,,,[0]
2023-09-21T12:42:56.026,,,,[0]
2023-09-21T12:42:56.059,,,,[0]
2023-09-21T12:42:56.092,,,,[0]
2023-09-21T12:42:56.131,,,,[0]
2023-09-21T12:42:56.160,,,,[0]
2023-09-21T12:42:56.196,,,,[0]
2023-09-21T12:42:56.227,,,,[0]
2023-09-21T12:42:56.259,,,,[0]
2023-09-21T12:42:56.291,,,,[0]
2023-09-21T12:42:56.327,,,,[0]
2023-09-21T12:42:56.358,,,,[0]
2023-09-21T12:42:56.396,,,,[0]
2023-09-21T12:42:56.427,,,,[0]
2023-09-21T12:42:56.459,,,,[0]
2023-09-21T12:42:56.492,,,,[0]
2023-09-21T12:42:56.527,,,,[0]
2023-09-21T12:42:56.559,,,,[0]
2023-09-21T12:42:56.598,,,,[0]
2023-09-21T12:42:56.626,,,,[0]
2023-09-21T12:42:56.660,,,,[0]
2023-09-21T12:42:56.690,,,,[0]
2023-09-21T12:42:56.720,,,,[0]
2023-09-21T12:42:56.752,,,,[0]
2023-09-21T12:42:56.789,,,,[0]
2023-09-21T12:42:56.829,,,,[0]
2023-09-21T12:42:56.860,,,,[0]
2023-09-21T12:42:56.892,,,,[0]
2023-09-21T12:42:56.927,,,,[0]
2023-09-21T12:42:56.960,,,,[0]
2023-09-21T12:42:56.995,,,,[0]
2023-09-21T12:42:57.028,,,,[0]
2023-09-21T12:42:57.059,,,,[0]
2023-09-21T12:42:57.092,,,,[0]
2023-09-21T12:42:57.131,,,,[0]
2023-09-21T12:42:57.159,,,,[0]
2023-09-21T12:42:57.196,,,,[0]
2023-09-21T12:42:57.228,,,,[0]
2023-09-21T12:42:57.259,,,,[0]
2023-09-21T12:42:57.292,,,,[0]
2023-09-21T12:42:57.327,,,,[0]
2023-09-21T12:42:57.360,,,,[0]
