t,x,y,θ,led
2023-09-21T12:47:49.616,,,,[0]
2023-09-21T12:47:49.651,,,,[0]
2023-09-21T12:47:49.682,,,,[0]
2023-09-21T12:47:49.716,,,,[0]
2023-09-21T12:47:49.748,,,,[0]
2023-09-21T12:47:49.776,,,,[0]
2023-09-21T12:47:49.810,,,,[0]
2023-09-21T12:47:49.843,,,,[0]
2023-09-21T12:47:49.875,,,,[0]
2023-09-21T12:47:49.913,,,,[0]
2023-09-21T12:47:49.946,,,,[0]
2023-09-21T12:47:49.979,,,,[0]
2023-09-21T12:47:50.028,,,,[0]
2023-09-21T12:47:50.046,,,,[0]
2023-09-21T12:47:50.076,,,,[0]
2023-09-21T12:47:50.117,,,,[0]
2023-09-21T12:47:50.149,,,,[0]
2023-09-21T12:47:50.181,,,,[0]
2023-09-21T12:47:50.216,,,,[0]
2023-09-21T12:47:50.244,,,,[0]
2023-09-21T12:47:50.280,,,,[0]
2023-09-21T12:47:50.311,,,,[0]
2023-09-21T12:47:50.344,,,,[0]
2023-09-21T12:47:50.375,,,,[0]
2023-09-21T12:47:50.413,,,,[0]
2023-09-21T12:47:50.447,,,,[0]
2023-09-21T12:47:50.480,,,,[0]
2023-09-21T12:47:50.512,,,,[0]
2023-09-21T12:47:50.547,,,,[0]
2023-09-21T12:47:50.579,,,,[0]
2023-09-21T12:47:50.610,,,,[0]
2023-09-21T12:47:50.644,,,,[0]
2023-09-21T12:47:50.675,,,,[0]
2023-09-21T12:47:50.717,,,,[0]
2023-09-21T12:47:50.747,,,,[0]
2023-09-21T12:47:50.781,,,,[0]
2023-09-21T12:47:50.815,,,,[0]
2023-09-21T12:47:50.848,,,,[0]
2023-09-21T12:47:50.876,,,,[0]
2023-09-21T12:47:50.913,,,,[0]
2023-09-21T12:47:50.947,,,,[0]
2023-09-21T12:47:50.988,,,,[0]
2023-09-21T12:47:51.019,,,,[0]
2023-09-21T12:47:51.050,,,,[0]
2023-09-21T12:47:51.084,,,,[0]
2023-09-21T12:47:51.120,,,,[0]
2023-09-21T12:47:51.152,,,,[0]
2023-09-21T12:47:51.183,,,,[0]
