t,x,y,θ,led
2023-09-21T12:38:02.026,,,,[94]
2023-09-21T12:38:02.163,,,,[94]
2023-09-21T12:38:02.166,267.79160037446525,249.320243945674,-0.9560864957671253,[87]
2023-09-21T12:38:02.168,267.5084940496874,249.8637825630015,-1.0448606040570547,[86]
2023-09-21T12:38:02.170,266.3768189261388,250.16998474693295,-1.1968171994939352,[83]
2023-09-21T12:38:02.189,265.0194258771196,250.5561674712688,-1.3490302193983963,[81]
2023-09-21T12:38:02.225,264.09217428420334,251.2793699635109,-1.401038460533807,[80]
2023-09-21T12:38:02.257,,,,[80]
2023-09-21T12:38:02.290,262.7001605502976,252.9457713890465,-1.5571302164600487,[78]
2023-09-21T12:38:02.325,261.841721464756,253.61771721706083,-1.6484409908277506,[77]
2023-09-21T12:38:02.357,,,,[77]
2023-09-21T12:38:02.404,260.94115522416064,255.35940418065783,-1.7171361255652604,[76]
2023-09-21T12:38:02.425,260.6560248014078,255.6269053155494,-1.7246581195006454,[76]
2023-09-21T12:38:02.457,,,,[76]
2023-09-21T12:38:02.490,,,,[76]
2023-09-21T12:38:02.522,261.7090856376161,255.73165764373152,-1.4181830738271977,[80]
2023-09-21T12:38:02.558,,,,[80]
2023-09-21T12:38:02.589,261.4651162739609,255.33009632961264,-1.340411093091226,[81]
2023-09-21T12:38:02.625,262.294132944089,256.1956610009833,-1.2690504138266803,[82]
2023-09-21T12:38:02.657,,,,[82]
2023-09-21T12:38:02.689,,,,[82]
2023-09-21T12:38:02.722,,,,[82]
2023-09-21T12:38:02.758,265.4251759853704,256.84020762346125,-0.2576103049658838,[97]
2023-09-21T12:38:02.790,265.86577659140397,257.02182421081227,-0.1132980788431523,[99]
2023-09-21T12:38:02.825,,,,[99]
2023-09-21T12:38:02.858,265.534378224119,256.70611024363495,0.25498685805929744,[4]
2023-09-21T12:38:02.902,265.2782784667333,256.5192435658974,0.4076028274896699,[6]
2023-09-21T12:38:02.922,265.5215915126618,256.4336427922516,0.5293210309520249,[8]
2023-09-21T12:38:02.957,265.88681170169644,256.90081639034173,0.7236845009439639,[11]
2023-09-21T12:38:02.990,265.92094080403433,257.2301850859696,0.9553875586357414,[14]
2023-09-21T12:38:03.025,265.9188693300514,257.4077747934291,1.1300906540841547,[17]
2023-09-21T12:38:03.057,265.80223372336735,257.70042430974814,1.2963712164316423,[19]
2023-09-21T12:38:03.089,265.8723930067821,258.3738967931893,1.5401810640996225,[23]
2023-09-21T12:38:03.121,266.18588204544636,259.19615610360063,1.8016172689240744,[26]
2023-09-21T12:38:03.157,266.2103046786476,259.66458077982315,2.005246279050744,[29]
2023-09-21T12:38:03.189,,,,[29]
2023-09-21T12:38:03.226,,,,[29]
2023-09-21T12:38:03.258,266.340661789913,259.9296300836714,2.4052601218247003,[35]
2023-09-21T12:38:03.289,,,,[35]
2023-09-21T12:38:03.322,,,,[35]
2023-09-21T12:38:03.358,266.4786383813497,260.58914393324596,2.72030808025577,[39]
2023-09-21T12:38:03.393,266.3866470987907,260.14895245946406,2.7658239307191144,[40]
2023-09-21T12:38:03.425,266.87741810097344,260.1439654482589,2.8939996977771507,[42]
2023-09-21T12:38:03.458,267.7800023466551,259.9198440098694,3.064309111324138,[44]
2023-09-21T12:38:03.489,,,,[44]
2023-09-21T12:38:03.522,269.2834661704669,259.132424981577,-2.9520353612487744,[48]
2023-09-21T12:38:03.558,269.47259065546825,259.00139072970956,-2.8628846494591116,[49]
2023-09-21T12:38:03.590,,,,[49]
2023-09-21T12:38:03.626,269.1257832220416,258.3954328732131,-2.8101823456476764,[50]
2023-09-21T12:38:03.658,269.04217815815406,258.15322720302294,-2.792742789866736,[50]
2023-09-21T12:38:03.689,268.8560147215783,258.33510876770333,-2.830769680107208,[50]
2023-09-21T12:38:03.722,268.5810794485251,258.68507910901,-2.9902185667834957,[48]
2023-09-21T12:38:03.757,267.4876791140055,259.21581437784903,3.1351500931836385,[45]
2023-09-21T12:38:03.789,267.3524929596234,259.556106019747,2.970279682608003,[43]
2023-09-21T12:38:03.825,,,,[43]
2023-09-21T12:38:03.858,,,,[43]
2023-09-21T12:38:03.893,,,,[43]
2023-09-21T12:38:03.922,266.1093167938523,259.2366888255832,2.2680872673228847,[33]
2023-09-21T12:38:03.957,265.4509403156086,259.09897730707445,2.0944645864333515,[31]
2023-09-21T12:38:03.989,264.9708237807256,259.06360749509724,1.9127612021486617,[28]
2023-09-21T12:38:04.025,264.3928900913116,259.3177194977482,1.773386623300395,[26]
2023-09-21T12:38:04.057,263.0978368873762,259.2269320115032,1.5601477616906057,[23]
