t,x,y,θ,led
2023-09-21T12:47:45.480,,,,2023-09-21T12:47:45.445,,,,2023-09-21T12:47:45.582,,,,2023-09-21T12:47:45.610,,,,2023-09-21T12:47:45.645,,,,2023-09-21T12:47:45.684,,,,[0]
[0]
2023-09-21T12:47:45.542,,,,[0]
[0]
2023-09-21T12:47:45.511,,,,[0]
[0]
2023-09-21T12:47:45.715,,,,[0]
2023-09-21T12:47:45.751,,,,[0]
2023-09-21T12:47:45.788,,,,[0]
2023-09-21T12:47:45.819,,,,[0]
2023-09-21T12:47:45.851,,,,[0]
[0]
2023-09-21T12:47:45.883,,,,[0]
[0]
2023-09-21T12:47:45.920,,,,[0]
2023-09-21T12:47:45.968,,,,[0]
2023-09-21T12:47:45.985,,,,[0]
2023-09-21T12:47:46.011,,,,[0]
2023-09-21T12:47:46.051,,,,[0]
2023-09-21T12:47:46.105,,,,[0]
2023-09-21T12:47:46.123,,,,[0]
2023-09-21T12:47:46.151,,,,[0]
2023-09-21T12:47:46.185,,,,[0]
2023-09-21T12:47:46.217,,,,[0]
2023-09-21T12:47:46.249,,,,[0]
2023-09-21T12:47:46.282,,,,[0]
2023-09-21T12:47:46.317,,,,[0]
2023-09-21T12:47:46.349,,,,[0]
2023-09-21T12:47:46.386,,,,[0]
2023-09-21T12:47:46.414,,,,[0]
2023-09-21T12:47:46.447,,,,[0]
2023-09-21T12:47:46.483,,,,[0]
2023-09-21T12:47:46.535,,,,[0]
2023-09-21T12:47:46.553,,,,[0]
2023-09-21T12:47:46.586,,,,[0]
2023-09-21T12:47:46.618,,,,[0]
2023-09-21T12:47:46.650,,,,[0]
2023-09-21T12:47:46.682,,,,[0]
2023-09-21T12:47:46.718,,,,[0]
2023-09-21T12:47:46.751,,,,[0]
2023-09-21T12:47:46.786,,,,[0]
2023-09-21T12:47:46.818,,,,[0]
2023-09-21T12:47:46.851,,,,[0]
2023-09-21T12:47:46.883,,,,[0]
2023-09-21T12:47:46.919,,,,[0]
2023-09-21T12:47:46.951,,,,[0]
2023-09-21T12:47:46.987,,,,[0]
2023-09-21T12:47:47.022,,,,[0]
2023-09-21T12:47:47.050,,,,[0]
2023-09-21T12:47:47.081,,,,[0]
2023-09-21T12:47:47.120,,,,[0]
2023-09-21T12:47:47.151,,,,[0]
2023-09-21T12:47:47.182,,,,[0]
2023-09-21T12:47:47.219,,,,[0]
2023-09-21T12:47:47.251,,,,[0]
2023-09-21T12:47:47.284,,,,[0]
2023-09-21T12:47:47.319,,,,[0]
2023-09-21T12:47:47.351,,,,[0]
2023-09-21T12:47:47.384,,,,[0]
2023-09-21T12:47:47.418,,,,[0]
2023-09-21T12:47:47.450,,,,[0]
2023-09-21T12:47:47.483,,,,[0]
