t,x,y,θ,led
2023-09-21T12:46:27.441,,,,[0]
2023-09-21T12:46:27.472,,,,[0]
2023-09-21T12:46:27.520,,,,[0]
2023-09-21T12:46:27.546,,,,[0]
2023-09-21T12:46:27.581,,,,[0]
2023-09-21T12:46:27.612,,,,[0]
2023-09-21T12:46:27.649,,,,[0]
2023-09-21T12:46:27.681,,,,[0]
2023-09-21T12:46:27.713,,,,[0]
2023-09-21T12:46:27.749,,,,[0]
2023-09-21T12:46:27.781,,,,[0]
2023-09-21T12:46:27.812,,,,[0]
2023-09-21T12:46:27.849,,,,[0]
2023-09-21T12:46:27.881,,,,[0]
2023-09-21T12:46:27.913,,,,[0]
2023-09-21T12:46:27.948,,,,[0]
2023-09-21T12:46:27.984,,,,[0]
2023-09-21T12:46:28.011,,,,[0]
2023-09-21T12:46:28.047,,,,[0]
2023-09-21T12:46:28.080,,,,[0]
2023-09-21T12:46:28.111,,,,[0]
2023-09-21T12:46:28.146,,,,[0]
2023-09-21T12:46:28.179,,,,[0]
2023-09-21T12:46:28.211,,,,[0]
2023-09-21T12:46:28.248,,,,[0]
2023-09-21T12:46:28.278,,,,[0]
2023-09-21T12:46:28.311,,,,[0]
2023-09-21T12:46:28.347,,,,[0]
2023-09-21T12:46:28.378,,,,[0]
2023-09-21T12:46:28.411,,,,[0]
2023-09-21T12:46:28.447,,,,[0]
2023-09-21T12:46:28.484,,,,[0]
2023-09-21T12:46:28.511,,,,[0]
2023-09-21T12:46:28.548,,,,[0]
2023-09-21T12:46:28.580,,,,[0]
2023-09-21T12:46:28.612,,,,[0]
2023-09-21T12:46:28.647,,,,[0]
2023-09-21T12:46:28.679,,,,[0]
2023-09-21T12:46:28.710,,,,[0]
2023-09-21T12:46:28.748,,,,[0]
2023-09-21T12:46:28.780,,,,[0]
2023-09-21T12:46:28.811,,,,[0]
2023-09-21T12:46:28.846,,,,[0]
2023-09-21T12:46:28.879,,,,[0]
2023-09-21T12:46:28.912,,,,[0]
2023-09-21T12:46:28.947,,,,[0]
2023-09-21T12:46:28.983,,,,[0]
2023-09-21T12:46:29.012,,,,[0]
2023-09-21T12:46:29.047,,,,[0]
2023-09-21T12:46:29.079,,,,[0]
2023-09-21T12:46:29.111,,,,[0]
2023-09-21T12:46:29.148,,,,[0]
2023-09-21T12:46:29.179,,,,[0]
2023-09-21T12:46:29.211,,,,[0]
2023-09-21T12:46:29.247,,,,[0]
2023-09-21T12:46:29.279,,,,[0]
2023-09-21T12:46:29.310,,,,[0]
2023-09-21T12:46:29.347,,,,[0]
2023-09-21T12:46:29.379,,,,[0]
2023-09-21T12:46:29.412,,,,[0]
2023-09-21T12:46:29.447,,,,[0]
2023-09-21T12:46:29.482,,,,[0]
2023-09-21T12:46:29.512,,,,[0]
2023-09-21T12:46:29.546,,,,[0]
2023-09-21T12:46:29.578,,,,[0]
2023-09-21T12:46:29.611,,,,[0]
2023-09-21T12:46:29.647,,,,[0]
