t,x,y,θ,led
2023-09-21T12:46:31.747,,,,[0]
2023-09-21T12:46:31.780,,,,[0]
2023-09-21T12:46:31.810,,,,[0]
2023-09-21T12:46:31.847,,,,[0]
2023-09-21T12:46:31.879,,,,[0]
2023-09-21T12:46:31.912,,,,[0]
2023-09-21T12:46:31.947,,,,[0]
2023-09-21T12:46:31.993,,,,[0]
2023-09-21T12:46:32.013,,,,[0]
2023-09-21T12:46:32.049,,,,[0]
2023-09-21T12:46:32.081,,,,[0]
2023-09-21T12:46:32.112,,,,[0]
2023-09-21T12:46:32.149,,,,[0]
2023-09-21T12:46:32.180,,,,[0]
2023-09-21T12:46:32.213,,,,[0]
2023-09-21T12:46:32.248,,,,[0]
2023-09-21T12:46:32.281,,,,[0]
2023-09-21T12:46:32.312,,,,[0]
2023-09-21T12:46:32.348,,,,[0]
2023-09-21T12:46:32.381,,,,[0]
2023-09-21T12:46:32.412,,,,[0]
2023-09-21T12:46:32.451,,,,[0]
2023-09-21T12:46:32.478,,,,[0]
2023-09-21T12:46:32.511,,,,[0]
2023-09-21T12:46:32.548,,,,[0]
2023-09-21T12:46:32.580,,,,[0]
2023-09-21T12:46:32.611,,,,[0]
2023-09-21T12:46:32.647,,,,[0]
2023-09-21T12:46:32.679,,,,[0]
2023-09-21T12:46:32.711,,,,[0]
2023-09-21T12:46:32.748,,,,[0]
2023-09-21T12:46:32.780,,,,[0]
