t,x,y,θ,led
2023-09-21T12:41:30.444,,,,[8]
2023-09-21T12:41:30.474,,,,[8]
2023-09-21T12:41:30.505,,,,[8]
2023-09-21T12:41:30.541,,,,[8]
2023-09-21T12:41:30.567,,,,[8]
2023-09-21T12:41:30.598,,,,[8]
2023-09-21T12:41:30.637,,,,[8]
2023-09-21T12:41:30.671,,,,[8]
2023-09-21T12:41:30.698,,,,[8]
2023-09-21T12:41:30.733,,,,[8]
2023-09-21T12:41:30.771,,,,[8]
2023-09-21T12:41:30.803,,,,[8]
2023-09-21T12:41:30.834,,,,[8]
2023-09-21T12:41:30.870,,,,[8]
2023-09-21T12:41:30.898,,,,[8]
2023-09-21T12:41:30.937,,,,[8]
2023-09-21T12:41:30.971,,,,[8]
2023-09-21T12:41:31.002,,,,[8]
2023-09-21T12:41:31.034,,,,[8]
2023-09-21T12:41:31.066,,,,[8]
2023-09-21T12:41:31.099,,,,[8]
2023-09-21T12:41:31.139,,,,[8]
2023-09-21T12:41:31.172,,,,[8]
2023-09-21T12:41:31.198,,,,[8]
2023-09-21T12:41:31.239,,,,[8]
2023-09-21T12:41:31.266,,,,[8]
2023-09-21T12:41:31.298,,,,[8]
2023-09-21T12:41:31.338,,,,[8]
