t,x,y,θ,led
2023-09-21T12:48:10.344,,,,[0]
2023-09-21T12:48:10.394,,,,[0]
2023-09-21T12:48:10.416,,,,[0]
2023-09-21T12:48:10.446,,,,[0]
2023-09-21T12:48:10.479,,,,[0]
2023-09-21T12:48:10.511,,,,[0]
2023-09-21T12:48:10.545,,,,[0]
2023-09-21T12:48:10.581,,,,[0]
2023-09-21T12:48:10.615,,,,[0]
2023-09-21T12:48:10.647,,,,[0]
2023-09-21T12:48:10.679,,,,[0]
2023-09-21T12:48:10.717,,,,[0]
2023-09-21T12:48:10.748,,,,[0]
2023-09-21T12:48:10.781,,,,[0]
2023-09-21T12:48:10.816,,,,[0]
2023-09-21T12:48:10.860,,,,[0]
2023-09-21T12:48:10.880,,,,[0]
2023-09-21T12:48:10.919,,,,[0]
2023-09-21T12:48:10.951,,,,[0]
2023-09-21T12:48:10.983,,,,[0]
2023-09-21T12:48:11.019,,,,[0]
2023-09-21T12:48:11.050,,,,[0]
2023-09-21T12:48:11.081,,,,[0]
2023-09-21T12:48:11.117,,,,[0]
2023-09-21T12:48:11.151,,,,[0]
2023-09-21T12:48:11.182,,,,[0]
2023-09-21T12:48:11.218,,,,[0]
2023-09-21T12:48:11.250,,,,[0]
2023-09-21T12:48:11.283,,,,[0]
2023-09-21T12:48:11.318,,,,[0]
2023-09-21T12:48:11.361,,,,[0]
2023-09-21T12:48:11.383,,,,[0]
2023-09-21T12:48:11.418,,,,[0]
2023-09-21T12:48:11.450,,,,[0]
2023-09-21T12:48:11.482,,,,[0]
2023-09-21T12:48:11.517,,,,[0]
2023-09-21T12:48:11.550,,,,[0]
2023-09-21T12:48:11.582,,,,[0]
2023-09-21T12:48:11.619,,,,[0]
2023-09-21T12:48:11.650,,,,[0]
2023-09-21T12:48:11.681,,,,[0]
2023-09-21T12:48:11.719,,,,[0]
2023-09-21T12:48:11.751,,,,[0]
2023-09-21T12:48:11.782,,,,[0]
2023-09-21T12:48:11.819,,,,[0]
2023-09-21T12:48:11.853,,,,[0]
2023-09-21T12:48:11.883,,,,[0]
2023-09-21T12:48:11.918,,,,[0]
2023-09-21T12:48:11.949,,,,[0]
2023-09-21T12:48:11.982,,,,[0]
2023-09-21T12:48:12.017,,,,[0]
2023-09-21T12:48:12.050,,,,[0]
2023-09-21T12:48:12.081,,,,[0]
2023-09-21T12:48:12.118,,,,[0]
2023-09-21T12:48:12.150,,,,[0]
2023-09-21T12:48:12.182,,,,[0]
2023-09-21T12:48:12.219,,,,[0]
2023-09-21T12:48:12.250,,,,[0]
2023-09-21T12:48:12.281,,,,[0]
2023-09-21T12:48:12.318,,,,[0]
2023-09-21T12:48:12.354,,,,[0]
2023-09-21T12:48:12.382,,,,[0]
2023-09-21T12:48:12.418,,,,[0]
2023-09-21T12:48:12.451,,,,[0]
2023-09-21T12:48:12.481,,,,[0]
2023-09-21T12:48:12.519,,,,[0]
2023-09-21T12:48:12.551,,,,[0]
2023-09-21T12:48:12.582,,,,[0]
2023-09-21T12:48:12.619,,,,[0]
2023-09-21T12:48:12.646,,,,[0]
2023-09-21T12:48:12.677,,,,[0]
2023-09-21T12:48:12.711,,,,[0]
2023-09-21T12:48:12.743,,,,[0]
2023-09-21T12:48:12.782,,,,[0]
2023-09-21T12:48:12.811,,,,[0]
2023-09-21T12:48:12.846,,,,[0]
2023-09-21T12:48:12.879,,,,[0]
2023-09-21T12:48:12.915,,,,[0]
2023-09-21T12:48:12.944,,,,[0]
2023-09-21T12:48:12.981,,,,[0]
2023-09-21T12:48:13.011,,,,[0]
2023-09-21T12:48:13.047,,,,[0]
2023-09-21T12:48:13.079,,,,[0]
2023-09-21T12:48:13.117,,,,[0]
2023-09-21T12:48:13.149,,,,[0]
2023-09-21T12:48:13.182,,,,[0]
