t,x,y,θ,led
2023-09-21T12:46:21.379,,,,2023-09-21T12:46:21.479,,,,2023-09-21T12:46:21.513,,,,2023-09-21T12:46:21.548,,,,2023-09-21T12:46:21.579,,,,[0]
[0]
[0]
2023-09-21T12:46:21.612,,,,[0]
2023-09-21T12:46:21.648,,,,[0]
2023-09-21T12:46:21.676,,,,[0]
2023-09-21T12:46:21.708,,,,[0]
2023-09-21T12:46:21.742,,,,[0]
2023-09-21T12:46:21.310,,,,[0]
2023-09-21T12:46:21.773,,,,[0]
2023-09-21T12:46:21.347,,,,[0]
2023-09-21T12:46:21.447,,,,[0]
[0]
[0]
2023-09-21T12:46:21.411,,,,[0]
2023-09-21T12:46:21.813,,,,[0]
2023-09-21T12:46:21.850,,,,[0]
2023-09-21T12:46:21.903,,,,[0]
2023-09-21T12:46:21.920,,,,[0]
2023-09-21T12:46:21.949,,,,[0]
2023-09-21T12:46:21.980,,,,[0]
2023-09-21T12:46:22.013,,,,[0]
2023-09-21T12:46:22.059,,,,[0]
2023-09-21T12:46:22.079,,,,[0]
2023-09-21T12:46:22.110,,,,[0]
2023-09-21T12:46:22.141,,,,[0]
2023-09-21T12:46:22.177,,,,[0]
2023-09-21T12:46:22.210,,,,[0]
2023-09-21T12:46:22.245,,,,[0]
2023-09-21T12:46:22.277,,,,[0]
2023-09-21T12:46:22.309,,,,[0]
2023-09-21T12:46:22.341,,,,[0]
2023-09-21T12:46:22.378,,,,[0]
2023-09-21T12:46:22.410,,,,[0]
2023-09-21T12:46:22.444,,,,[0]
2023-09-21T12:46:22.474,,,,[0]
2023-09-21T12:46:22.512,,,,[0]
2023-09-21T12:46:22.563,,,,[0]
2023-09-21T12:46:22.579,,,,[0]
2023-09-21T12:46:22.610,,,,[0]
2023-09-21T12:46:22.648,,,,[0]
2023-09-21T12:46:22.681,,,,[0]
2023-09-21T12:46:22.713,,,,[0]
2023-09-21T12:46:22.749,,,,[0]
2023-09-21T12:46:22.781,,,,[0]
2023-09-21T12:46:22.812,,,,[0]
2023-09-21T12:46:22.849,,,,[0]
2023-09-21T12:46:22.881,,,,[0]
2023-09-21T12:46:22.913,,,,[0]
2023-09-21T12:46:22.951,,,,[0]
2023-09-21T12:46:22.981,,,,[0]
2023-09-21T12:46:23.013,,,,[0]
2023-09-21T12:46:23.053,,,,[0]
